s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
CL:0000115	endothelial cell	endothelial cell	UBERON:0001736	submandibular gland	submandibular gland	71	24.317391688550188
CL:0000115	endothelial cell	endothelial cell	UBERON:0001832	sublingual gland	sublingual gland	54	24.317391688550188
UBERON:0004923	organ component layer	mucosa of the lip	UBERON:0003729	mouth mucosa	mouth mucosa	31	23.268530265176743
CL:0000115	endothelial cell	endothelial cell	UBERON:0001831	parotid gland	parotid gland	36	21.10303489147708
CL:0000115	endothelial cell	endothelial cell	UBERON:0001828	gingiva	gingiva	16	20.656029375211602
CL:0000084	T cell	T cell	UBERON:0001828	gingiva	gingiva	14	17.408929696481145
CL:0000236	B cell	B cell (non-plasma)	UBERON:0001828	gingiva	gingiva	19	17.260990469910865
CL:0000192	smooth muscle cell	smooth muscle cell	UBERON:0001832	sublingual gland	sublingual gland	66	15.061924768316771
CL:0000192	smooth muscle cell	smooth muscle cell	UBERON:0001736	submandibular gland	submandibular gland	83	15.061924768316771
CL:0000451	dendritic cell	dendritic cell	UBERON:0001736	submandibular gland	submandibular gland	70	12.522352161111996
CL:0000451	dendritic cell	dendritic cell	UBERON:0001832	sublingual gland	sublingual gland	53	12.522352161111996
CL:0000235	macrophage	macrophage	UBERON:0001832	sublingual gland	sublingual gland	58	12.175387572094266
CL:0000235	macrophage	macrophage	UBERON:0001736	submandibular gland	submandibular gland	75	12.175387572094266
CL:0000192	smooth muscle cell	smooth muscle cell	UBERON:0001831	parotid gland	parotid gland	47	11.847567971243663
CL:0000451	dendritic cell	dendritic cell	UBERON:0001831	parotid gland	parotid gland	35	9.307995364038888
CL:0000235	macrophage	macrophage	UBERON:0001831	parotid gland	parotid gland	40	8.961030775021158
CL:0000451	dendritic cell	dendritic cell	UBERON:0001828	gingiva	gingiva	22	8.86098984777341
CL:0000235	macrophage	macrophage	UBERON:0001828	gingiva	gingiva	18	8.51402525875568
CL:0000148	melanocyte	melanocyte	UBERON:0001828	gingiva	gingiva	17	7.488144625719698
CL:0000669	pericyte	pericyte	UBERON:0001736	submandibular gland	submandibular gland	80	6.369621113291444
CL:0000669	pericyte	pericyte	UBERON:0001832	sublingual gland	sublingual gland	63	6.369621113291444
CL:0000312	keratinocyte	keratinocyte	UBERON:0001828	gingiva	gingiva	21	5.522343524635744
CL:0001065	innate lymphoid cell	innate lymphoid cell	UBERON:0001828	gingiva	gingiva	28	5.137369573435549
CL:0000097	mast cell	mast cell	UBERON:0001736	submandibular gland	submandibular gland	76	5.110413277634876
CL:0000097	mast cell	mast cell	UBERON:0001832	sublingual gland	sublingual gland	59	5.110413277634876
CL:0000136	adipocyte	adipocyte	UBERON:0001831	parotid gland	parotid gland	33	5.06920630337541
CL:0000623	natural killer cell	NK (natural killer) cells	UBERON:0001828	gingiva	gingiva	24	4.178954463951172
CL:0000775	neutrophil	neutrophil	UBERON:0001828	gingiva	gingiva	25	3.3233914280595513
CL:0000669	pericyte	pericyte	UBERON:0001831	parotid gland	parotid gland	44	3.155264316218336
CL:0000097	mast cell	mast cell	UBERON:0001831	parotid gland	parotid gland	41	1.896056480561768
CL:0000097	mast cell	mast cell	UBERON:0001828	gingiva	gingiva	15	1.4490509642962905
CL:0000912	helper T cell	helper T	UBERON:0001736	submandibular gland	submandibular gland	72	0.8800793882858358
CL:0000912	helper T cell	helper T	UBERON:0001832	sublingual gland	sublingual gland	55	0.8800793882858358
CL:0000185	myoepithelial cell	myoepithelial cell	UBERON:0001832	sublingual gland	sublingual gland	61	0.713214649398509
CL:0000185	myoepithelial cell	myoepithelial cell	UBERON:0001736	submandibular gland	submandibular gland	78	0.713214649398509
CL:0000242	Merkel cell	Merkel cell	UBERON:0001828	gingiva	gingiva	20	
CL:0000453	Langerhans cell	Langerhans cell	UBERON:0001828	gingiva	gingiva	23	
CL:0000786	plasma cell	plasma cell	UBERON:0001828	gingiva	gingiva	26	
CL:0000815	regulatory T cell	regulatory T cell (Treg)	UBERON:0001828	gingiva	gingiva	27	
CL:0000912	helper T cell	helper T	UBERON:0001831	parotid gland	parotid gland	37	
CL:0000987	IgA plasma cell	IgA secreting plasma cell	UBERON:0001831	parotid gland	parotid gland	38	
CL:0005006	ionocyte	ionocyte	UBERON:0001831	parotid gland	parotid gland	39	
CL:0000185	myoepithelial cell	myoepithelial cell	UBERON:0001831	parotid gland	parotid gland	42	
CL:4052065	serous acinar cell of salivary gland	serous acinar cell	UBERON:0001831	parotid gland	parotid gland	46	
CL:0002204	tuft cell	tuft cell	UBERON:0001831	parotid gland	parotid gland	48	
CL:4052048	intercalated cell of salivary gland	intercalated duct epithelial cell	UBERON:0035046	parotid gland intercalated duct	intercalated duct	50	
CL:4052049	striated cell of salivary gland	striated duct epithelial cell	UBERON:0035047	parotid gland striated duct	striated duct	51	
CL:0000987	IgA plasma cell	IgA secreting plasma cell	UBERON:0001832	sublingual gland	sublingual gland	56	
CL:0005006	ionocyte	ionocyte	UBERON:0001832	sublingual gland	sublingual gland	57	
CL:4052067	seromucous acinar cell of salivary gland	seromucosal acinar cell	UBERON:0001832	sublingual gland	sublingual gland	65	
CL:4052048	intercalated cell of salivary gland	intercalated duct epithelial cell	UBERON:0001838	sublingual duct	intercalated duct	67	
CL:0000987	IgA plasma cell	IgA secreting plasma cell	UBERON:0001736	submandibular gland	submandibular gland	73	
CL:0005006	ionocyte	ionocyte	UBERON:0001736	submandibular gland	submandibular gland	74	
CL:4052067	seromucous acinar cell of salivary gland	seromucosal acinar cell	UBERON:0001736	submandibular gland	submandibular gland	82	
UBERON:0013475	gustatory gland	gustatory gland (Von Ebner's gland)	UBERON:0001830	minor salivary gland	minor salivary gland	92	
