row_number	s	slabel	user_slabel	o	olabel	user_olabel	deltaIC
413	CL:0001035	bone cell	bone cell	UBERON:0016492	foramen spinosum of sphenoid bone	foramen spinosum of sphenoid bone	41.142218355172155
595	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
586	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.142218355172155
587	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
588	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
589	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
590	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
591	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
592	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
593	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
594	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
596	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
561	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.142218355172155
597	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
598	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
599	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.142218355172155
600	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.142218355172155
601	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.142218355172155
602	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.142218355172155
603	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.142218355172155
604	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.142218355172155
605	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.142218355172155
585	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.142218355172155
584	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.142218355172155
583	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.142218355172155
582	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.142218355172155
563	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.142218355172155
564	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.142218355172155
565	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.142218355172155
566	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.142218355172155
567	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.142218355172155
568	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.142218355172155
569	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.142218355172155
570	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.142218355172155
571	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.142218355172155
