s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
CL:0000540	Neuron	Neuron	UBERON:0007121	skin nerve field	nerve	79	68.52516537062453
CL:0000540	Neuron	Neuron	UBERON:0007121	skin nerve field	nerve	59	68.52516537062453
UBERON:0002027	stratum corneum of epidermis	Stratum corneum (SC)	UBERON:0013487	epidermal ridge of digit	epidermal ridge of digit	11	34.477217537329224
CL:0000236	B cell	B cell	UBERON:0000412	dermal papilla	dermal papilla	55	29.179069389813804
UBERON:0002069	stratum granulosum of epidermis	Stratum granulosum (SG)	UBERON:0013487	epidermal ridge of digit	epidermal ridge of digit	13	20.945933506563676
UBERON:0002069	stratum granulosum of epidermis	Stratum granulosum (SG)	UBERON:0013487	epidermal ridge of digit	epidermal ridge of digit	12	20.945933506563676
CL:0000235	macrophage	Macrophage	UBERON:0000412	dermal papilla	dermal papilla	47	20.43210417865862
UBERON:0002026	stratum spinosum of epidermis	Stratum spinosum (SS)	UBERON:0013487	epidermal ridge of digit	epidermal ridge of digit	14	19.406223545622638
UBERON:0002026	stratum spinosum of epidermis	Stratum spinosum (SS)	UBERON:0013487	epidermal ridge of digit	epidermal ridge of digit	15	19.406223545622638
UBERON:0002026	stratum spinosum of epidermis	Stratum spinosum (SS)	UBERON:0013487	epidermal ridge of digit	epidermal ridge of digit	16	19.406223545622638
CL:0000115	endothelial cell	Endothelial cell	UBERON:0035549	vasculature of integument	Blood vessels	62	18.16627031350251
CL:0000115	endothelial cell	Endothelial cell	UBERON:0035549	vasculature of integument	Blood vessels	82	18.16627031350251
UBERON:0002025	stratum basale of epidermis	Stratum basale (SB)	UBERON:0013487	epidermal ridge of digit	epidermal ridge of digit	17	16.377535509138582
UBERON:0002025	stratum basale of epidermis	Stratum basale (SB)	UBERON:0013487	epidermal ridge of digit	epidermal ridge of digit	18	16.377535509138582
UBERON:0002025	stratum basale of epidermis	Stratum basale (SB)	UBERON:0013487	epidermal ridge of digit	epidermal ridge of digit	19	16.377535509138582
UBERON:0002025	stratum basale of epidermis	Stratum basale (SB)	UBERON:0013487	epidermal ridge of digit	epidermal ridge of digit	21	16.377535509138582
UBERON:0002025	stratum basale of epidermis	Stratum basale (SB)	UBERON:0013487	epidermal ridge of digit	epidermal ridge of digit	20	16.377535509138582
CL:0001067	group 1 innate lymphoid cell	Natural killer cell / Innate lymphoid cell 1	UBERON:0000412	dermal papilla	dermal papilla	52	16.266763067422787
CL:0000623	natural killer cell	Natural killer cell	UBERON:0000412	dermal papilla	dermal papilla	51	16.09703338385411
CL:0000236	B cell	B cell	UBERON:0002072	hypodermis	Subcutaneous	76	15.987704725443592
CL:0000775	neutrophil	Neutrophil	UBERON:0000412	dermal papilla	dermal papilla	57	15.24147034796249
CL:0000669	pericyte	Pericyte	UBERON:0000412	dermal papilla	dermal papilla	66	14.626337719855798
CL:0000669	pericyte	pericyte	UBERON:0000412	dermal papilla	dermal papilla	65	14.626337719855798
UBERON:0035549	vasculature of integument	Blood vessels	UBERON:0000412	dermal papilla	dermal papilla	62	14.407837981612033
CL:0000097	mast cell	Mast cell	UBERON:0000412	dermal papilla	dermal papilla	42	13.36712988419923
CL:0002576	perineurial cell	perineurial cells	UBERON:0000412	dermal papilla	dermal papilla	61	12.730281239294001
CL:0002573	Schwann cell	Schwann cell	UBERON:0000412	dermal papilla	dermal papilla	60	11.114726884016704
CL:0000786	plasma cell	Plasma cell	UBERON:0000412	dermal papilla	dermal papilla	56	11.114726884016704
CL:0000815	regulatory T cell	T reg	UBERON:0000412	dermal papilla	dermal papilla	50	10.991530677763166
CL:0000771	eosinophil	Eosinophil	UBERON:0000412	dermal papilla	dermal papilla	58	10.738006916532356
CL:0000359	vascular associated smooth muscle cell	Perivascular smooth muscle cell	UBERON:0000412	dermal papilla	dermal papilla	63	9.764966817388284
CL:0002138	endothelial cell of lymphatic vessel	Lymphatic	UBERON:0000412	dermal papilla	dermal papilla	67	8.065665399669058
CL:0000235	macrophage	Macrophage	UBERON:0002072	hypodermis	Subcutaneous	71	7.240739514288407
CL:0000545	T-helper 1 cell	T helper	UBERON:0000412	dermal papilla	dermal papilla	48	4.230333889349055
UBERON:0008198	Nail plate	Nail plate	UBERON:0002283	nail matrix	nail matrix	22	3.6883186091392446
CL:0000775	neutrophil	Neutrophil	UBERON:0002072	hypodermis	Subcutaneous	77	2.050105683592278
CL:0002620	skin fibroblast	Fibroblast	UBERON:0000412	dermal papilla	dermal papilla	41	1.7291917416744553
UBERON:0008974	apocrine gland	Apocrine glands	UBERON:0001820	sweat gland	sweat gland	37	1.7166098635886868
UBERON:0035549	vasculature of integument	Blood vessels	UBERON:0002072	hypodermis	Subcutaneous	82	1.216473317241821
CL:0000910	cytotoxic T cell	T killer	UBERON:0000412	dermal papilla	dermal papilla	49	0.6281708225380953
CL:0001006	dermal dendritic cell	Dendritic cell (migratory)	UBERON:0000412	dermal papilla	dermal papilla	46	0.6281708225380953
CL:0001006	dermal dendritic cell	Dendritic cell (monocyte-derived)	UBERON:0000412	dermal papilla	dermal papilla	45	0.6281708225380953
CL:0001006	dermal dendritic cell	Dendritic cell (DC2)	UBERON:0000412	dermal papilla	dermal papilla	44	0.6281708225380953
CL:0001006	dermal dendritic cell	Dendritic cell (DC1)	UBERON:0000412	dermal papilla	dermal papilla	43	0.6281708225380953
CL:0000097	mast cell	Mast cell	UBERON:0002072	hypodermis	Subcutaneous	72	0.17576521982901738
CL:0002457	epidermal Langerhans cell	Langerhans cell	UBERON:0002069	stratum granulosum of epidermis	Stratum granulosum (SG)	13	
CL:0002457	epidermal Langerhans cell	Langerhans cell	UBERON:0002026	stratum spinosum of epidermis	Stratum spinosum (SS)	15	
CL:0000242	Merkel cell	Merkel cell	UBERON:0002026	stratum spinosum of epidermis	Stratum spinosum (SS)	16	
CL:0002457	epidermal Langerhans cell	Langerhans cell	UBERON:0002025	stratum basale of epidermis	Stratum basale (SB)	18	
CL:1000458	melanocyte of skin	Melanocyte	UBERON:0002025	stratum basale of epidermis	Stratum basale (SB)	20	
