s	slabel	user_slabel	o	olabel	user_olabel	row_number
CL:0000071	blood vessel endothelial cell	blood endothelial cell	UBERON:0018243	thymic artery	thymic artery	16
CL:0000071	blood vessel endothelial cell	blood endothelial cell	UBERON:0018243	thymic artery	thymic artery	22
CL:0000071	blood vessel endothelial cell	blood endothelial cell	UBERON:0018243	thymic artery	thymic artery	34
CL:0000071	blood vessel endothelial cell	blood endothelial cell	UBERON:0018243	thymic artery	thymic artery	40
CL:0000071	blood vessel endothelial cell	blood endothelial cell	UBERON:0018243	thymic artery	thymic artery	53
CL:0000071	blood vessel endothelial cell	blood endothelial cell	UBERON:0001591	thymic vein	thymic vein	54
CL:0000071	blood vessel endothelial cell	blood endothelial cell	UBERON:0018243	thymic artery	thymic artery	60
CL:0000071	blood vessel endothelial cell	blood endothelial cell	UBERON:0001591	thymic vein	thymic vein	61
CL:0000071	blood vessel endothelial cell	blood endothelial cell	UBERON:0001591	thymic vein	thymic vein	87
CL:0002138	endothelial cell of lymphatic vessel	lymphatic endothelial cell	UBERON:0010397	efferent lymphatic vessel	efferent lymphatic	63
CL:0002364	cortical thymic epithelial cell	cortical thymic epithelial cell	UBERON:0003846	thymus epithelium	thymus epithelium	42
UBERON:0002384	connective tissue	connective tissue	UBERON:0004791	thymus trabecula	thymus trabecula	20
