s	slabel	user_slabel	o	olabel	user_olabel	row_number
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	22
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	46
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	45
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	44
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	43
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	33
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	32
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	31
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	30
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	29
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	28
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	27
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	26
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	25
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	24
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	23
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	47
CL:0000115	endothelial cell	endothelial cell	UBERON:0015173	helicine branch of uterine artery	arcuate artery of uterus	48
