s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
UBERON:0001986	endothelium	Endothelium (non glomerular)	UBERON:0009091	vasa recta ascending limb	Ascending Vasa Recta	64	38.12044127148671
UBERON:0001986	endothelium	Endothelium (non glomerular)	UBERON:0009202	vasa recta descending limb	Descending Vasa Recta	63	38.12044127148671
CL:0000499	stromal cell	stromal cell	UBERON:0002015	kidney capsule	kidney capsule	12	25.369276648589945
UBERON:0004188	glomerular epithelium	Glomerular Epithelium	UBERON:0002189	outer cortex of kidney	outer cortex of kidney	13	24.24293751779652
UBERON:0004188	glomerular epithelium	Glomerular Epithelium	UBERON:0005271	juxtamedullary cortex	juxtamedullary cortex	14	24.24293751779652
UBERON:0004188	glomerular epithelium	Glomerular Epithelium	UBERON:0001284	renal column	renal column (column of Bertin)	20	24.24293751779652
UBERON:0004640	renal efferent arteriole	Efferent Arteriole	UBERON:0034884	juxtaglomerular arteriole	Juxtaglomerular Arteriole	61	16.386428103857313
UBERON:0004639	renal afferent arteriole	Afferent Arteriole	UBERON:0034884	juxtaglomerular arteriole	Juxtaglomerular Arteriole	60	15.81264169084261
CL:0000084	T cell	T Cell	UBERON:0005215	kidney interstitium	Interstitium	82	15.474394022358446
CL:0000236	B cell	B cell	UBERON:0005215	kidney interstitium	Interstitium	85	15.458599083599765
UBERON:0001986	endothelium	Endothelium (non glomerular)	UBERON:0003517	kidney blood vessel	Kidney Blood Vessel	59	14.443706055714728
UBERON:0001289	descending limb of loop of Henle	Loop of Henle (Thin Limb)	UBERON:0004201	kidney outer medulla inner stripe	kidney outer medulla inner stripe	17	7.551441892381135
UBERON:0004203	cortical collecting duct	Collecting Duct (Cortex)	UBERON:0009883	medullary ray	medullary ray	15	4.570878523990416
CL:0000576	monocyte	Monocyte	UBERON:0005215	kidney interstitium	Interstitium	80	3.7372565884740823
CL:0000623	natural killer cell	Natural Killer Cell	UBERON:0005215	kidney interstitium	Interstitium	75	1.9176613091991044
CL:0000775	neutrophil	Neutrophil	UBERON:0005215	kidney interstitium	Interstitium	87	1.6664163012200675
UBERON:0002335	macula densa	Macula Densa	UBERON:0001291	thick ascending limb of loop of Henle	Loop of Henle (Thick Limb/ Cortex)	38	1.0165287425849812
UBERON:0001291	thick ascending limb of loop of Henle	Loop of Henle (Thick Limb/Medulla)	UBERON:0004202	kidney outer medulla outer stripe	kidney outer medulla outer stripe	16	0.5737864130147017
UBERON:8600036	kidney loop of Henle long descending thin limb outer medulla	descending thin limb of loop of Henle 2	UBERON:0001289	descending limb of loop of Henle	Loop of Henle (Thin Limb)	17	
CL:4030013	kidney loop of Henle long descending thin limb outer medulla epithelial cell	Descending Thin Limb Cell Type 2	UBERON:8600036	kidney loop of Henle long descending thin limb outer medulla	descending thin limb of loop of Henle 2	17	
UBERON:0009202	vasa recta descending limb	Descending Vasa Recta	UBERON:0001294	inner medulla of kidney	inner medulla of kidney	18	
CL:1000718	kidney inner medulla collecting duct principal cell	Inner Medullary Collecting Duct Cell	UBERON:0009095	tip of renal papilla	papillary tip	19	
UBERON:0001284	renal column	renal column (column of Bertin)	UBERON:0001225	cortex of kidney	renal cortex	20	
UBERON:0009202	vasa recta descending limb	Descending Vasa Recta	UBERON:0004200	kidney pyramid	renal pyramid	21	
UBERON:0005215	kidney interstitium	Interstitium	UBERON:0001229	Renal Corpuscle	Renal Corpuscle	25	
CL:4030009	epithelial cell of proximal tubule segment 1	Proximal Tubule Epithelial Cell Segment 1	UBERON:0004196	proximal convoluted tubule segment 1	proximal convoluted tubule segment 1	27	
CL:4030010	epithelial cell of proximal tubule segment 2	Proximal Tubule Epithelial Cell Segment 2	UBERON:0004197	proximal convoluted tubule segment 2	proximal convoluted tubule segment 2	28	
CL:4030011	epithelial cell of proximal tubule segment 3	Proximal Tubule Cell Epithelial Segment 3	UBERON:0001290	proximal straight tubule	proximal straight tubule segment 3	29	
UBERON:0005099	short descending thin limb	descending thin limb of loop of Henle 1	UBERON:0001289	descending limb of loop of Henle	Loop of Henle (Thin Limb)	31	
UBERON:8600036	kidney loop of Henle long descending thin limb outer medulla	descending thin limb of loop of Henle 2	UBERON:0001289	descending limb of loop of Henle	Loop of Henle (Thin Limb)	32	
CL:4030013	kidney loop of Henle long descending thin limb outer medulla epithelial cell	Descending Thin Limb Cell Type 2	UBERON:8600036	kidney loop of Henle long descending thin limb outer medulla	descending thin limb of loop of Henle 2	32	
UBERON:8600037	kidney loop of Henle long descending thin limb inner medulla	descending thin limb of loop of Henle 3	UBERON:0001289	descending limb of loop of Henle	Loop of Henle (Thin Limb)	33	
CL:4030014	kidney loop of Henle long descending thin limb inner medulla epithelial cell	Descending Thin Limb Cell Type 3	UBERON:8600037	kidney loop of Henle long descending thin limb inner medulla	descending thin limb of loop of Henle 3	33	
UBERON:0001232	collecting duct of renal tubule	Collecting Duct	UBERON:0001232	collecting duct of renal tubule	Tubules	47	
UBERON:0001232	collecting duct of renal tubule	Collecting Duct	UBERON:0001232	collecting duct of renal tubule	Tubules	48	
UBERON:0001232	collecting duct of renal tubule	Collecting Duct	UBERON:0001232	collecting duct of renal tubule	Tubules	52	
UBERON:0001232	collecting duct of renal tubule	Collecting Duct	UBERON:0001232	collecting duct of renal tubule	Tubules	53	
UBERON:0001232	collecting duct of renal tubule	Collecting Duct	UBERON:0001232	collecting duct of renal tubule	Tubules	54	
UBERON:0001232	collecting duct of renal tubule	Collecting Duct	UBERON:0001232	collecting duct of renal tubule	Tubules	57	
UBERON:0004726	vasa recta	Vasa Recta	UBERON:0006544	kidney vasculature	Vessels	63	
UBERON:0004726	vasa recta	Vasa Recta	UBERON:0006544	kidney vasculature	Vessels	64	
CL:1001318	renal interstitial pericyte	Vascular Smooth Muscle Cell/Pericyte (general)	UBERON:0003517	kidney blood vessel	Kidney Blood Vessel	66	
UBERON:0002303	juxtaglomerular apparatus	Juxtaglomerular Apparatus	UBERON:0003517	kidney blood vessel	Kidney Blood Vessel	68	
CL:0000875	non-classical monocyte	non Classical Monocyte	UBERON:0005215	kidney interstitium	Interstitium	74	
CL:0000814	mature NK T cell	Natural Killer T Cell	UBERON:0005215	kidney interstitium	Interstitium	76	
CL:0001056	dendritic cell, human	Dendritic Cell (general)	UBERON:0005215	kidney interstitium	Interstitium	77	
CL:0001058	plasmacytoid dendritic cell, human	Dendritic Cell (plasmatoid)	UBERON:0005215	kidney interstitium	Interstitium	79	
CL:0000910	cytotoxic T cell	Cytotoxic T Cell	UBERON:0005215	kidney interstitium	Interstitium	83	
CL:0000815	regulatory T cell	regulatory T cell	UBERON:0005215	kidney interstitium	Interstitium	84	
CL:0000786	plasma cell	Plasma cell	UBERON:0005215	kidney interstitium	Interstitium	86	
CL:0000097	mast cell	Mast cell	UBERON:0005215	kidney interstitium	Interstitium	88	
