s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
CL:0009016	intestinal crypt stem cell of large intestine	epithelial stem cell	UBERON:0011184	epithelium of crypt of Lieberkuhn	epithelium	14	inf
CL:0000096		neutrophil (normally intravascular only)	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria	918	inf
CL:0002573	Schwann cell	nerve	UBERON:0005304	submucosal plexus of Meissner	submucosal plexus of Meissner	945	inf
CL:0000682	M cell of gut	M cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)	943	inf
CL:0000451	dendritic cell	dendritic cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)	939	inf
CL:1000414	endothelial cell of venule	venule endothelium	UBERON:0003331	submucosa of colon	submucosa	931	inf
CL:0002573	Schwann cell	nerve	UBERON:0003331	submucosa of colon	submucosa	929	inf
CL:0000057	fibroblast	fibroblast	UBERON:0003331	submucosa of colon	submucosa	928	inf
CL:0000136	fat cell	adipocyte	UBERON:0003331	submucosa of colon	submucosa	927	inf
CL:0002573	Schwann cell	nerve	UBERON:0007178	muscularis mucosae of colon	muscularis mucosa	923	inf
CL:0000057	fibroblast	fibroblast	UBERON:0007178	muscularis mucosae of colon	muscularis mucosa	922	inf
CL:0000451	dendritic cell	dendritic cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria	920	inf
CL:0000786		plasma cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria	911	inf
CL:0002071	enterocyte of epithelium of large intestine	absorptive	UBERON:0011184	epithelium of crypt of Lieberkuhn	epithelium	17	inf
CL:0000682	M cell of gut	M cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)	901	inf
CL:0000935	CD4-negative, CD8-negative, alpha-beta intraepithelial T cell	surface intraepithelial CD4-CD8- lymphocyte alpha/beta	UBERON:0000397	colonic epithelium	lymphocyte	889	inf
CL:0000802	CD8-alpha alpha positive, gamma-delta intraepithelial T cell	surface intraepithelial CD8+ lymphocyte gamma/delta	UBERON:0000397	colonic epithelium	lymphocyte	886	inf
CL:0002071	enterocyte of epithelium of large intestine	absorptive	UBERON:0011184	epithelium of crypt of Lieberkuhn	epithelium	881	inf
CL:0009016	intestinal crypt stem cell of large intestine	epithelial stem cell	UBERON:0011184	epithelium of crypt of Lieberkuhn	epithelium	878	inf
CL:0000136	fat cell	adipocyte	UBERON:0012375	subserosa	subserosa	870	inf
CL:1000414	endothelial cell of venule	venule endothelium	UBERON:0012375	subserosa	subserosa	868	inf
CL:0002573	Schwann cell	nerve	UBERON:0012375	subserosa	subserosa	866	inf
CL:0002573	Schwann cell	nerve	UBERON:0005304	submucosal plexus of Henle	submucosal plexus of Henle	840	inf
CL:0002573	Schwann cell	nerve	UBERON:0005304	intermediate layer	intermediate layer	838	inf
CL:0002573	Schwann cell	nerve	UBERON:0005304	intermediate layer	intermediate layer	947	inf
CL:0002573	Schwann cell	nerve	UBERON:0005304	submucosal plexus of Henle	submucosal plexus of Henle	949	inf
CL:0002573	Schwann cell	nerve	UBERON:0012375	subserosa	subserosa	975	inf
CL:1000414	endothelial cell of venule	venule endothelium	UBERON:0012375	subserosa	subserosa	977	inf
CL:0000136	fat cell	adipocyte	UBERON:0003331	submucosa of colon	submucosa	1036	inf
CL:0002573	Schwann cell	nerve	UBERON:0007178	muscularis mucosae of colon	muscularis mucosa	1032	inf
CL:0000057	fibroblast	fibroblast	UBERON:0007178	muscularis mucosae of colon	muscularis mucosa	1031	inf
CL:0000451	dendritic cell	dendritic cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria	1029	inf
CL:0000096		neutrophil (normally intravascular only)	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria	1027	inf
CL:0000786		plasma cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria	1020	inf
CL:0000682	M cell of gut	M cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)	1010	inf
CL:0000935	CD4-negative, CD8-negative, alpha-beta intraepithelial T cell	surface intraepithelial CD4-CD8- lymphocyte alpha/beta	UBERON:0000397	colonic epithelium	lymphocyte	999	inf
CL:0000802	CD8-alpha alpha positive, gamma-delta intraepithelial T cell	surface intraepithelial CD8+ lymphocyte gamma/delta	UBERON:0000397	colonic epithelium	lymphocyte	995	inf
UBERON:0004989	mucosa	mucosa	UBERON:0001052	rectum	rectum	993	inf
UBERON:0004989	mucosa	mucosa	UBERON:0001052	rectum	rectum	992	inf
UBERON:0004989	mucosa	mucosa	UBERON:0001052	rectum	rectum	991	inf
CL:0002071	enterocyte of epithelium of large intestine	absorptive	UBERON:0011184	epithelium of crypt of Lieberkuhn	epithelium	990	inf
UBERON:0004989	mucosa	mucosa	UBERON:0001052	rectum	rectum	990	inf
UBERON:0004989	mucosa	mucosa	UBERON:0001052	rectum	rectum	989	inf
UBERON:0004989	mucosa	mucosa	UBERON:0001052	rectum	rectum	988	inf
CL:0009016	intestinal crypt stem cell of large intestine	epithelial stem cell	UBERON:0011184	epithelium of crypt of Lieberkuhn	epithelium	987	inf
UBERON:0004989	mucosa	mucosa	UBERON:0001052	rectum	rectum	987	inf
UBERON:0004989	mucosa	mucosa	UBERON:0001052	rectum	rectum	986	inf
UBERON:0004989	mucosa	mucosa	UBERON:0001052	rectum	rectum	985	inf
CL:0000136	fat cell	adipocyte	UBERON:0012375	subserosa	subserosa	979	inf
CL:0002573	Schwann cell	nerve	UBERON:0005304	submucosal plexus of Meissner	submucosal plexus of Meissner	836	inf
CL:0000682	M cell of gut	M cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)	834	inf
CL:0000451	dendritic cell	dendritic cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/Isolated lymphoid follicles (ILF)	830	inf
CL:0000057	fibroblast	fibroblast	UBERON:0003331	submucosa of colon	submucosa	710	inf
CL:0002573	Schwann cell	nerve	UBERON:0007178	muscularis mucosae of colon	muscularis mucosa	705	inf
CL:0000057	fibroblast	fibroblast	UBERON:0007178	muscularis mucosae of colon	muscularis mucosa	704	inf
CL:0000451	dendritic cell	dendritic cell	UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria	702	inf
