s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	87	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	88	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	75	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	76	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	77	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	78	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	79	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	81	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	82	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	83	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	84	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	85	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	86	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	89	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	73	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	90	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	91	22.07239448300247
UBERON:0002187	terminal bronchiole	terminal/ transitional bronchiole	UBERON:0010369	secondary pulmonary lobule	secondary pulmonary lobule	92	22.07239448300247
