s	slabel	user_slabel	o	olabel	user_olabel	row_number
CL:0000307	tracheal epithelial cell	tracheal epithelial cell	CL:0000066	epithelial cell	epithelial cell	14
CL:0000307	tracheal epithelial cell	tracheal epithelial cell	CL:0000066	epithelial cell	epithelial cell	15
CL:0000307	tracheal epithelial cell	tracheal epithelial cell	CL:0000066	epithelial cell	epithelial cell	16
CL:0002202	epithelial cell of tracheobronchial tree	epithelial cell of tracheobronchial tree	CL:0000066	epithelial cell	epithelial cell	12
CL:0002202	epithelial cell of tracheobronchial tree	epithelial cell of tracheobronchial tree	CL:0000066	epithelial cell	epithelial cell	23
CL:0002202	epithelial cell of tracheobronchial tree	epithelial cell of tracheobronchial tree	CL:0000066	epithelial cell	epithelial cell	22
CL:0002202	epithelial cell of tracheobronchial tree	epithelial cell of tracheobronchial tree	CL:0000066	epithelial cell	epithelial cell	21
CL:0002202	epithelial cell of tracheobronchial tree	epithelial cell of tracheobronchial tree	CL:0000066	epithelial cell	epithelial cell	20
CL:0002202	epithelial cell of tracheobronchial tree	epithelial cell of tracheobronchial tree	CL:0000066	epithelial cell	epithelial cell	18
CL:0002202	epithelial cell of tracheobronchial tree	epithelial cell of tracheobronchial tree	CL:0000066	epithelial cell	epithelial cell	19
CL:0002553	fibroblast of lung	fibroblast of lung	CL:0002320	connective tissue cell	connective tissue cell	28
CL:0019002	tracheobronchial chondrocyte	tracheobronchial chondrocyte	CL:0000499	stromal cell	stromal cell	24
CL:0019002	tracheobronchial chondrocyte	tracheobronchial chondrocyte	CL:0000499	stromal cell	stromal cell	25
CL:1000348	basal cell of epithelium of trachea	basal cell of epithelium of trachea	CL:0000307	tracheal epithelial cell	tracheal epithelial cell	15
CL:1001567	lung endothelial cell	lung endothelial cell	CL:0000066	epithelial cell	epithelial cell	29
CL:1001567	lung endothelial cell	lung endothelial cell	CL:0000066	epithelial cell	epithelial cell	31
CL:4033021	myoepithelial cell of trachea gland	myoepithelial cell of trachea gland	CL:0002202	epithelial cell of tracheobronchial tree	epithelial cell of tracheobronchial tree	23
UBERON:0006680	trachealis	trachealis	UBERON:0003387	smooth muscle of trachea	smooth muscle of trachea	17
