s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	436	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	438	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	446	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	454	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	448	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	434	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	456	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	440	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	450	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	432	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	462	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	458	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	430	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	452	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	444	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	428	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	442	278988480.0
UBERON:0012276	endometrium glandular epithelium	endometrium glandular epithelium	UBERON:0002451	endometrial gland	endometrial gland	460	278988480.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	410	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	411	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	412	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	413	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	414	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	415	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	416	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	417	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	427	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	426	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	419	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	420	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	421	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	422	100.0
UBERON:0002337	endometrial stroma	endometrial stroma	UBERON:0022355	basal layer of endometrium	stratum basalis	423	100.0
