Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
frontal lobe	frontal lobe	UBERON:0016525	frontomarginal gyrus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
parietal lobe	parietal lobe	UBERON:0001872	supraparietal lobule	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
parietal lobe	parietal lobe	UBERON:0001872	inferior parietal lobule	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
parietal lobe	parietal lobe	UBERON:0001872	paracentral lobule, caudal part	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
temporal lobe	temporal lobe	UBERON:0001871	transverse temporal gyrus (Heschl's gyrus)	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
temporal pole	temporal pole	UBERON:0002576	perirhinal lobule	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
occipital lobe	occipital lobe	UBERON:0002021	occipitoparietal transition region	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
occipital lobe	occipital lobe	UBERON:0002021	occipitotemporal transition region	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
occipital lobe	occipital lobe	UBERON:0002021	occipitotemporal (fusiform) gyrus, occipital part	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
cingulate gyrus	cingulate gyrus	UBERON:0002967	cingulate gyrus, retrospleninal part	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
parahippocampal gyrus	parahippocampal gyrus	UBERON:0002973	uncus of parahippocampal gyrus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
limbic lobe	limbic lobe	UBERON:0002600	hippocampal gyrus (formation)	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
hippocampal gyrus (formation)			head of hippocampus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
hippocampal gyrus (formation)			body of hippocampus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
hippocampal gyrus (formation)			subicular complex	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
gray matter of forebrain	gray matter of forebrain	UBERON:0019264	amygdaloid complex	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
amygdaloid complex			anterior amygdalar area	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
amygdaloid complex			anterior cortical nucleus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
amygdaloid complex			posterior cortical nucleus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
amygdaloid complex			medial nucleus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
amygdaloid complex			lateral nucleus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
amygdaloid complex			basolateral nucleus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
amygdaloid complex			basomedial nucleus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
amygdaloid complex			central nuclear group	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
