s	slabel	user_slabel	o	olabel	user_olabel	row_number
CL:0000066	epithelial cell	epithelial cell	UBERON:0002506	iris epithelium	iris epithelium	61
CL:0000129	microglial cell	microglial cell	UBERON:0000966	retina	retina	48
CL:0000561	Amacrine Cell	Amacrine Cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	12
CL:0000573	retinal cone cell	retinal cone cell	UBERON:0001789	outer nuclear layer of retina	outer nuclear layer	33
CL:0000604	retinal rod cell	retinal rod cell	UBERON:0001789	outer nuclear layer of retina	outer nuclear layer	51
CL:0000636	Mueller cell	Muller glia	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	49
CL:0000669	pericyte	Pericyte	UBERON:0004864	vasculature of retina	vasculature	50
CL:0000740	retinal ganglion cell	Ganglion cell	UBERON:0001792	ganglionic layer of retina	retinal ganglion cell layer	37
CL:0000740	retinal ganglion cell	Ganglion cell	UBERON:0001792	ganglionic layer of retina	retinal ganglion cell layer	69
CL:0000745	retina horizontal cell	Horizontal Cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	39
CL:0000748	retinal bipolar neuron	Bipolar Cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	20
CL:0002225	secondary lens fiber	mature fiber cell	UBERON:0000390	lens nucleus	Fetal nucleus	44
CL:0002228	primary lens fiber	primary lens fiber	UBERON:0002444	lens fiber	lens Fibers	38
CL:0002363	keratocyte	keratocyte	UBERON:0003952	anterior stroma of cornea	anterior stroma of cornea	56
CL:0002585	retinal blood vessel endothelial cell	Endothelial Cell	UBERON:0004864	vasculature of retina	vasculature	34
CL:0004219	A2 amacrine cell	A2 cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	18
CL:0004232	starburst amacrine cell	starburst amacrine cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	19
CL:0004253	wide field retinal amacrine cell	wide field cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	15
CL:0011004	lens fiber cell	lens fiber cell	UBERON:0000389	lens cortex	cortex	46
CL:0011004	lens fiber cell	lens fiber cell	UBERON:0000389	lens cortex	cortex	47
CL:0011004	lens fiber cell	lens fiber cell	UBERON:0000390	lens nucleus	Adult nucleus	45
CL:0011004	lens fiber cell	lens fiber cell	UBERON:0002444	lens Fiber	lens Fiber	53
CL:0011004	lens fiber cell	lens fiber cell	UBERON:0002444	lens fiber	lens Fibers	41
CL:0011005	GABAergic interneuron	GABAergic interneuron	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	13
CL:0017004	telocyte	telocyte	UBERON:0003952	anterior stroma of cornea	anterior stroma of cornea	57
CL:4023188	Midget ganglion cell of retina	Midget cell	UBERON:0001792	ganglionic layer of retina	retinal ganglion cell layer	35
CL:4023189	Parasol ganglion cell of retina	Parasol cell	UBERON:0001792	ganglionic layer of retina	retinal ganglion cell layer	36
CL:4030028	glycinergic amacrine cell	Glycinergic Amacrine Cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	14
CL:4033027	diffuse bipolar 1 cell	Diffuse bipolar 1 (DB1)	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	22
CL:4033028	diffuse bipolar 2 cell	Diffuse bipolar 2 cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	23
CL:4033029	diffuse bipolar 3a cell	Diffuse bipolar 3a cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	24
CL:4033030	diffuse bipolar 3b cell	Diffuse bipolar 3b cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	25
CL:4033033	flat midget bipolar cell	Flat midget bipolar cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	28
