s	slabel	user_slabel	o	olabel	user_olabel	row_number
CL:0000057	fibroblast	fibroblast	UBERON:0002049	vasculature	vasculature	178
CL:0000071	blood vessel endothelial cell	smooth muscle cell	UBERON:0006958	great vein of heart	great cardiac vein	134
CL:0000071	blood vessel endothelial cell	smooth muscle cell	UBERON:0009687	middle cardiac vein	middle cardiac vein	137
CL:0000077	mesothelial cell	mesothelial cell	UBERON:0002348	epicardium	Epicardium	204
CL:0000136	fat cell	adipocyte	UBERON:0002080	heart right ventricle	right ventricle	185
CL:0000746	cardiac muscle cell	cardiomyocyte	UBERON:0003379	cardiac muscle of right atrium	myocardium	16
CL:0000746	cardiac muscle cell	cardiomyocyte	UBERON:0006566	left ventricle myocardium	myocardium	90
CL:0000746	cardiac muscle cell	cardiomyocyte	UBERON:0002094	interventricular septum	septum	143
CL:0000746	cardiac muscle cell	cardiomyocyte	UBERON:0006567	right ventricle myocardium	myocardium	163
CL:0002068	Purkinje myocyte	Purkinje fiber cell	UBERON:0006566	left ventricle myocardium	myocardium	91
CL:0002068	Purkinje myocyte	Purkinje fiber cell	UBERON:0002094	interventricular septum	septum	144
CL:0002068	Purkinje myocyte	Purkinje fiber cell	UBERON:0006567	right ventricle myocardium	myocardium	164
CL:0010008	cardiac endothelial cell	endothelial cell	UBERON:0002049	vasculature	vasculature	26
