s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
CL:0000236	B cell	B lymphocyte	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	22	44.45058860241689
CL:0000057	fibroblast	fibroblast	UBERON:0035422	circumflex branch of left coronary artery	left circumflex artery	39	42.254876749871684
CL:0000057	fibroblast	fibroblast	UBERON:0035374	small cardiac vein	small cardiac vein	53	42.254876749871684
CL:0000057	fibroblast	fibroblast	UBERON:0001625	right coronary artery	right coronary artery	50	42.254876749871684
CL:0000057	fibroblast	fibroblast	UBERON:0006958	great vein of heart	great cardiac vein	135	42.254876749871684
CL:0000057	fibroblast	fibroblast	UBERON:0009687	middle cardiac vein	middle cardiac vein	138	42.254876749871684
CL:0000236	B cell	B lymphocyte	UBERON:0006566	left ventricle myocardium	myocardium	105	35.26441866809555
CL:0000236	B cell	B lymphocyte	UBERON:0006567	right ventricle myocardium	myocardium	159	32.57763619968049
CL:0001065	Innate lymphoid cell	Innate lymphoid cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	24	31.941214531922185
CL:0000097	mast cell	mast cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	20	28.783883052470586
CL:0000071	blood vessel endothelial cell	endothelial cell	UBERON:0002348	epicardium	Epicardium	209	25.78268956894896
CL:0000235	macrophage	macrophage	UBERON:0006566	left ventricle myocardium	myocardium	93	25.44182706601589
UBERON:0002049	vasculature	vasculature	UBERON:0002079	left cardiac atrium	left atrium	65	24.55613563560263
UBERON:0002049	vasculature	vasculature	UBERON:0002079	left cardiac atrium	left atrium	66	24.55613563560263
UBERON:0002049	vasculature	vasculature	UBERON:0002079	left cardiac atrium	left atrium	67	24.55613563560263
UBERON:0002049	vasculature	vasculature	UBERON:0002080	heart right ventricle	right ventricle	177	24.253506748821707
UBERON:0002049	vasculature	vasculature	UBERON:0002080	heart right ventricle	right ventricle	178	24.253506748821707
UBERON:0002049	vasculature	vasculature	UBERON:0002080	heart right ventricle	right ventricle	176	24.253506748821707
CL:0000236	B cell	B lymphocyte	UBERON:0002348	epicardium	Epicardium	213	23.96804027277293
CL:0000057	fibroblast	fibroblast	UBERON:0005438	coronary sinus	coronary sinus	45	23.882536881228987
CL:0000542	lymphocyte	lymphocyte	UBERON:0002094	interventricular septum	septum	148	22.987351089007603
CL:0001065	innate lymphoid cell	ILC	UBERON:0006566	left ventricle myocardium	myocardium	107	22.755044597600843
CL:0000235	macrophage	macrophage	UBERON:0006567	right ventricle myocardium	myocardium	166	22.75504459760083
CL:0000136	fat cell	adipocyte	UBERON:0006566	left ventricle myocardium	myocardium	102	22.426394390035426
CL:0002138	endothelial cell of lymphatic vessel	lymphatic endothelial cell	UBERON:0003383	cardiac muscle tissue of interventricular septum	myocardium	21	22.080589624308658
CL:0000057	fibroblast	fibroblast	UBERON:0002348	epicardium	Epicardium	208	21.772328420227723
UBERON:0002049	vasculature	vasculature	UBERON:0002084	heart left ventricle	left ventricle	96	21.56672428040666
UBERON:0002049	vasculature	vasculature	UBERON:0002084	heart left ventricle	left ventricle	95	21.56672428040666
