s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	183	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	169	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	154	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	155	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	156	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	157	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	159	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	160	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	161	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	162	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	163	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	164	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	165	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	166	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	167	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	168	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	158	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	170	28.288947639576946
UBERON:0002405	immune system	immune system of respiratory tract	UBERON:0000101	lobe of lung	lung lobe	176	28.288947639576946
