Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	CL Name	References/ID	References/DOI
UBERON:8600010	ciliated ducts of bronchial submucosal gland	ciliated ducts of bronchial submucosal gland	airway submucosal gland ciliated duct cell		
UBERON:0002339	epithelium of lobar bronchus	lobar bronchial epithelium	airway deuterosomal cell		
UBERON:0002339	epithelium of lobar bronchus	lobar bronchial epithelium	respiratory suprabasal cell		
UBERON:8600010	ciliated ducts of bronchial submucosal gland	ciliated ducts of bronchial submucosal gland	airway submucosal gland ciliated duct cells		
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	respiratory suprabasal cell		
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	airway deuterosomal cell		
UBERON:0002341	epithelium of segmental bronchus	subsegmental bronchial epithelium	airway deuterosomal cell		
UBERON:0002341	epithelium of segmental bronchus	subsegmental bronchial epithelium	respiratory suprabasal cell		
UBERON:0002405	immune system	immune system of respiratory tract	alveolar macrophage CCL3+		
UBERON:0002405	immune system	immune system of respiratory tract	alveolar macrophage proliferating		
UBERON:0002405	immune system	immune system of respiratory tract	alveolar macrophage MT-positive		
UBERON:0002405	immune system	immune system of respiratory tract	Interstitial macrophage		
UBERON:0002405	immune system	immune system of respiratory tract	CD4+ T cell resident memory		
UBERON:0002405	immune system	immune system of respiratory tract	CD8+ T cell resident memory		
UBERON:0002405	immune system	immune system of respiratory tract	migratory dendritic cell		
