row_number	s	slabel	user_slabel	o	olabel	user_olabel
13	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002378	muscle of abdomen	abdomen muscle
243	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010953	nasalis muscle	nasalis muscle
244	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010953	nasalis muscle	nasalis muscle
251	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010933	orbicularis oris muscle	orbicularis oris muscle
252	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010933	orbicularis oris muscle	orbicularis oris muscle
253	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010933	orbicularis oris muscle	orbicularis oris muscle
255	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008598	risorius muscle	risorius muscle
256	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008609	transversus menti muscle	transversus menti muscle
257	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008593	zygomaticus major muscle	zygomaticus major muscle
258	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008594	zygomaticus minor muscle	zygomaticus minor muscle
259	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003682	palatal muscle	palatal muscle
260	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003682	palatal muscle	palatal muscle
261	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003682	palatal muscle	palatal muscle
262	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001574	palatoglossus muscle	palatoglossus muscle
263	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008586	tensor veli palatini	tensor veli palatini muscle
264	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
265	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
266	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001386	extensor digitorum longus	extensor digitorum longus muscle
270	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
272	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001369	iliacus muscle	iliacus muscle
278	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001379	vastus lateralis	vastus lateralis muscle
279	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001380	vastus medialis	vastus medialis muscle
280	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
281	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0000372	extensor digitorum brevis pes	extensor digitorum brevis muscle
283	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002000	gluteal muscle	gluteal muscle
284	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001370	gluteus maximus	gluteus maximus muscle
285	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002000	gluteal muscle	gluteal muscle
286	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008521	gluteus minimus	gluteus minimus muscle
242	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010953	nasalis muscle	nasalis muscle
287	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0019202	inferior gemellus muscle	inferior gemellus muscle
240	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008596	mentalis muscle	mentalis muscle
233	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008597	depressor anguli oris muscle	depressor anguli oris muscle
