row_number	s	slabel	user_slabel	o	olabel	user_olabel	deltaIC
394	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008571	suprahyoid muscle	suprahyoid muscle	10644466.0
393	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008571	suprahyoid muscle	suprahyoid muscle	10644466.0
287	UBERON:0019202	inferior gemellus muscle	inferior gemellus muscle	UBERON:0002000	gluteal muscle	gluteal muscle	10644365.999992
291	UBERON:0019203	superior gemellus muscle	superior gemellus muscle	UBERON:0002000	gluteal muscle	gluteal muscle	10644365.999992
180	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0005441	external intercostal muscle	external intercostal muscle	100.00000799999998
181	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008617	innermost intercostal muscle	innermost intercostal muscle	100.00000799999998
380	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010937	salpingopharyngeus muscle	salpingopharyngeus muscle	100.00000799999998
359	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001110	thyrohyoid muscle	thyrohyoid muscle	100.00000799999998
358	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001109	sternothyroid muscle	sternothyroid muscle	100.00000799999998
357	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001107	sternohyoid muscle	sternohyoid muscle	100.00000799999998
356	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001108	omohyoid muscle	omohyoid muscle	100.00000799999998
355	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001108	omohyoid muscle	omohyoid muscle	100.00000799999998
354	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001108	omohyoid muscle	omohyoid muscle	100.00000799999998
343	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010928	cricopharyngeus muscle	cricopharyngeal part of inferior pharyngeal constrictor muscle	100.00000799999998
312	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011907	gastrocnemius medialis	medial head of gastrocnemius muscle	100.00000799999998
311	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011908	gastrocnemius lateralis	lateral head of gastrocnemius muscle	100.00000799999998
276	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001373	sartorius muscle	sartorius muscle	100.00000799999998
