s	slabel	user_slabel	o	olabel	user_olabel	row_number
CL:0000540	neuron	neuron	UBERON:0003725	cervical nerve plexus	cervical plexus	16
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	502
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	505
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	519
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	531
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	532
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	628
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	638
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	647
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	660
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	669
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	670
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	671
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	672
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	674
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	678
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	777
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	803
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	804
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	805
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	806
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	807
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	808
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	809
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	499
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	495
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	490
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	486
CL:0000540	neuron	neuron	UBERON:0003725	cervical nerve plexus	cervical plexus	21
CL:0000540	neuron	neuron	UBERON:0003725	cervical nerve plexus	cervical plexus	26
CL:0000540	neuron	neuron	UBERON:0003725	cervical nerve plexus	cervical plexus	31
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	36
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	41
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	46
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	51
CL:0000540	neuron	neuron	UBERON:0001814	brachial nerve plexus	brachial plexus	56
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	105
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	110
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	115
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	810
CL:0000540	neuron	neuron	UBERON:0034987	lumbar nerve plexus	lumbar plexus	120
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	126
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	131
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	136
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	141
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	146
CL:0000540	neuron	neuron	UBERON:0035768	coccygeal nerve plexus	coccygeal plexus	147
CL:0000540	neuron	neuron	UBERON:0035768	coccygeal nerve plexus	coccygeal plexus	152
CL:0000540	neuron	neuron	UBERON:0035768	coccygeal nerve plexus	coccygeal plexus	157
CL:0000540	neuron	neuron	UBERON:0003725	cervical nerve plexus	cervical plexus	468
CL:0000540	neuron	neuron	UBERON:0003725	cervical nerve plexus	cervical plexus	475
CL:0000540	neuron	neuron	UBERON:0003725	cervical nerve plexus	cervical plexus	478
CL:0000540	neuron	neuron	UBERON:0034986	sacral nerve plexus	sacral plexus	121
CL:0000540	neuron	neuron	UBERON:0035768	coccygeal nerve plexus	coccygeal plexus	814
