s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
CL:0000540	neuron	neuron	UBERON:0003724	musculocutaneous nerve	musculocutaneous nerve	526	55.22291729236875
CL:0000540	neuron	neuron	UBERON:0008833	great auricular nerve	great auricular nerve	470	55.22291729236875
CL:0000540	neuron	neuron	UBERON:0008833	great auricular nerve	great auricular nerve	472	55.22291729236875
CL:0000540	neuron	neuron	UBERON:0003724	musculocutaneous nerve	musculocutaneous nerve	521	55.22291729236875
CL:0000540	neuron	neuron	UBERON:0003724	musculocutaneous nerve	musculocutaneous nerve	522	55.22291729236875
CL:0000540	neuron	neuron	UBERON:0003724	musculocutaneous nerve	musculocutaneous nerve	523	55.22291729236875
CL:0000540	neuron	neuron	UBERON:0003724	musculocutaneous nerve	musculocutaneous nerve	524	55.22291729236875
CL:0000540	neuron	neuron	UBERON:0003724	musculocutaneous nerve	musculocutaneous nerve	525	55.22291729236875
CL:0000540	neuron	neuron	UBERON:0003724	musculocutaneous nerve	musculocutaneous nerve	527	55.22291729236875
CL:0000540	neuron	neuron	UBERON:0003724	musculocutaneous nerve	musculocutaneous nerve	528	55.22291729236875
CL:0000540	neuron	neuron	UBERON:0008833	great auricular nerve	great auricular nerve	471	55.22291729236875
CL:0000540	neuron	neuron	UBERON:0001494	ulnar nerve	ulnar nerve	570	53.74476427054334
CL:0000540	neuron	neuron	UBERON:0001494	ulnar nerve	ulnar nerve	569	53.74476427054334
CL:0000540	neuron	neuron	UBERON:0001494	ulnar nerve	ulnar nerve	552	53.74476427054334
CL:0000540	neuron	neuron	UBERON:0001493	axillary nerve	axillary nerve	508	53.74476427054334
CL:0000540	neuron	neuron	UBERON:0001493	axillary nerve	axillary nerve	509	53.74476427054334
CL:0000540	neuron	neuron	UBERON:0001493	axillary nerve	axillary nerve	512	53.74476427054334
CL:0000540	neuron	neuron	UBERON:0001494	ulnar nerve	ulnar nerve	587	53.74476427054334
CL:0000540	neuron	neuron	UBERON:0001494	ulnar nerve	ulnar nerve	576	53.74476427054334
CL:0000540	neuron	neuron	UBERON:0001494	ulnar nerve	ulnar nerve	586	53.74476427054334
CL:0000540	neuron	neuron	UBERON:0001494	ulnar nerve	ulnar nerve	585	53.74476427054334
CL:0000540	neuron	neuron	UBERON:0001494	ulnar nerve	ulnar nerve	584	53.74476427054334
