Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
placenta	placenta	UBERON:0001987	placental disc	doi:10.1016/0198-8859(93)90138-Q ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; PMID:8804361 ; doi:10.1155/2021/6662201 ; doi:10.1093/humrep/dem265 ; doi:10.1242/dev.148932	doi:10.1016/0198-8859(93)90138-Q ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; PMID:8804361 ; doi:10.1155/2021/6662201 ; doi:10.1093/humrep/dem265 ; doi:10.1242/dev.148932
placenta	placenta	UBERON:0001987	placental disc	doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; doi:10.1016/j.jri.2009.02.007 ; doi:10.1371/journal.pone.0146082 ; doi:10.17772/gp/1673	doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; doi:10.1016/j.jri.2009.02.007 ; doi:10.1371/journal.pone.0146082 ; doi:10.17772/gp/1673
placenta	placenta	UBERON:0001987	placental disc	doi:10.3390/cells1041061 ; doi:10.1016/j.jcyt.2017.03.001 ; doi:10.1186/s13287-017-0757-1 ; doi:10.1095/biolreprod51.4.739 ; doi:10.1095/biolreprod.108.075226 ; doi:10.1182/blood.V74.2.751.751 ; doi:10.5966/sctm.2015-0022 ; doi:10.3346/jkms.2012.27.8.857 ; doi:10.1093/humrep/den051	doi:10.3390/cells1041061 ; doi:10.1016/j.jcyt.2017.03.001 ; doi:10.1186/s13287-017-0757-1 ; doi:10.1095/biolreprod51.4.739 ; doi:10.1095/biolreprod.108.075226 ; doi:10.1182/blood.V74.2.751.751 ; doi:10.5966/sctm.2015-0022 ; doi:10.3346/jkms.2012.27.8.857 ; doi:10.1093/humrep/den051 ; doi:10.1093/humrep/den051
chorion	chorion membrane	UBERON:0003124	chorionic mesoderm (from chorion)	doi:10.3390/cells1041061 ; doi:10.1016/j.jcyt.2017.03.001 ; doi:10.1186/s13287-017-0757-1 ; doi:10.1095/biolreprod51.4.739 ; doi:10.1095/biolreprod.108.075226 ; doi:10.1182/blood.V74.2.751.751 ; doi:10.5966/sctm.2015-0022 ; doi:10.3346/jkms.2012.27.8.857 ; doi:10.1093/humrep/den051	doi:10.3390/cells1041061 ; doi:10.1016/j.jcyt.2017.03.001 ; doi:10.1186/s13287-017-0757-1 ; doi:10.1095/biolreprod51.4.739 ; doi:10.1095/biolreprod.108.075226 ; doi:10.1182/blood.V74.2.751.751 ; doi:10.5966/sctm.2015-0022 ; doi:10.3346/jkms.2012.27.8.857 ; doi:10.1093/humrep/den051 ; doi:10.1093/humrep/den051
chorion	chorion membrane	UBERON:0003124	chorionic ectoderm (from chorion)	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244
chorion	chorion membrane	UBERON:0003124	chorionic ectoderm (from chorion)	doi:10.1016/0198-8859(93)90138-Q ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; PMID:8804361 ; doi:10.1155/2021/6662201 ; doi:10.1093/humrep/dem265 ; doi:10.1242/dev.148932	doi:10.1016/0198-8859(93)90138-Q ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; PMID:8804361 ; doi:10.1155/2021/6662201 ; doi:10.1093/humrep/dem265 ; doi:10.1242/dev.148932
endometrium	endometrium	UBERON:0001295	endometrial lymphatic vessel	doi:10.1371/journal.pone.0169849	doi:10.1371/journal.pone.0169849
chorionic plate	chorionic plate	UBERON:0004027	chorionic mesoderm (from chorionic plate)	doi:10.3390/cells1041061 ; doi:10.1016/j.jcyt.2017.03.001 ; doi:10.1186/s13287-017-0757-1 ; doi:10.1095/biolreprod51.4.739 ; doi:10.1095/biolreprod.108.075226 ; doi:10.1182/blood.V74.2.751.751 ; doi:10.5966/sctm.2015-0022 ; doi:10.3346/jkms.2012.27.8.857 ; doi:10.1093/humrep/den051	doi:10.3390/cells1041061 ; doi:10.1016/j.jcyt.2017.03.001 ; doi:10.1186/s13287-017-0757-1 ; doi:10.1095/biolreprod51.4.739 ; doi:10.1095/biolreprod.108.075226 ; doi:10.1182/blood.V74.2.751.751 ; doi:10.5966/sctm.2015-0022 ; doi:10.3346/jkms.2012.27.8.857 ; doi:10.1093/humrep/den051 ; doi:10.1093/humrep/den051
placenta	placenta	UBERON:0001987	placental disc	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244
chorionic plate	chorionic plate	UBERON:0004027	chorionic ectoderm (from chorionic plate)	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244
