row_number	s	slabel	user_slabel	o	olabel	user_olabel	deltaIC
413	CL:0001035	bone cell	bone cell	UBERON:0016492	foramen spinosum of sphenoid bone	foramen spinosum of sphenoid bone	41.109821796358226
595	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
586	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
587	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
588	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
589	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
590	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
591	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
592	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
593	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
594	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
596	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
561	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
597	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
598	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
599	CL:0001035	bone cell	bone cell	UBERON:0004605	rib 5	rib 5	41.109821796358226
600	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
601	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
602	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
603	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
604	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
605	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
585	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
584	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
583	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
582	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
563	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
564	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
565	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
566	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
567	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
568	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
569	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
570	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
571	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
572	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
573	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
574	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
575	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
576	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
577	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
578	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
579	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
580	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
581	CL:0001035	bone cell	bone cell	UBERON:0004604	rib 4	rib 4	41.109821796358226
606	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
607	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
608	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
631	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
633	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
634	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
635	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
636	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
637	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
638	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
639	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
640	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
641	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
642	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
643	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
644	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
645	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
646	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
647	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
648	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
649	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
650	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
651	CL:0001035	bone cell	bone cell	UBERON:0004608	rib 9	rib 9	41.109821796358226
632	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
630	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
609	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
629	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
610	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
611	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
612	CL:0001035	bone cell	bone cell	UBERON:0004606	rib 6	rib 6	41.109821796358226
613	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
614	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
615	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
616	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
617	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
618	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
619	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
620	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
621	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
622	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
623	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
624	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
625	CL:0001035	bone cell	bone cell	UBERON:0004607	rib 7	rib 7	41.109821796358226
626	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
627	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
628	CL:0001035	bone cell	bone cell	UBERON:0010757	rib 8	rib 8	41.109821796358226
562	CL:0001035	bone cell	bone cell	UBERON:0004603	rib 3	rib 3	41.109821796358226
171	CL:0001035	bone cell	bone cell	UBERON:0007176	superior angle of scapula	superior angle of scapula	41.109821796358226
945	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
947	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
933	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
934	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
935	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
936	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
937	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
938	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
535	CL:0001035	bone cell	bone cell	UBERON:0004609	rib 10	rib 10	41.109821796358226
536	CL:0001035	bone cell	bone cell	UBERON:0004609	rib 10	rib 10	41.109821796358226
528	CL:0001035	bone cell	bone cell	UBERON:0004609	rib 10	rib 10	41.109821796358226
529	CL:0001035	bone cell	bone cell	UBERON:0004609	rib 10	rib 10	41.109821796358226
946	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
539	CL:0001035	bone cell	bone cell	UBERON:0004610	rib 11	rib 11	41.109821796358226
537	CL:0001035	bone cell	bone cell	UBERON:0004610	rib 11	rib 11	41.109821796358226
944	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
538	CL:0001035	bone cell	bone cell	UBERON:0004610	rib 11	rib 11	41.109821796358226
943	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
942	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
941	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
940	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
939	CL:0001035	bone cell	bone cell	UBERON:0004636	thoracic vertebra 12	thoracic vertebra 12	41.109821796358226
542	CL:0001035	bone cell	bone cell	UBERON:0004610	rib 11	rib 11	41.109821796358226
541	CL:0001035	bone cell	bone cell	UBERON:0004610	rib 11	rib 11	41.109821796358226
530	CL:0001035	bone cell	bone cell	UBERON:0004609	rib 10	rib 10	41.109821796358226
527	CL:0001035	bone cell	bone cell	UBERON:0004609	rib 10	rib 10	41.109821796358226
531	CL:0001035	bone cell	bone cell	UBERON:0004609	rib 10	rib 10	41.109821796358226
533	CL:0001035	bone cell	bone cell	UBERON:0004609	rib 10	rib 10	41.109821796358226
317	CL:0001035	bone cell	bone cell	UBERON:0009990	medial condyle of tibia	medial condyle of tibia	41.109821796358226
460	CL:0001035	bone cell	bone cell	UBERON:0011309	body of mandible	body of mandible	41.109821796358226
307	CL:0001035	bone cell	bone cell	UBERON:0018673	neck of fibula	neck of fibula	41.109821796358226
26	CL:0001035	bone cell	bone cell	UBERON:0011188	lesser tubercle of humerus	lesser tubercle of humerus	41.109821796358226
296	CL:0001035	bone cell	bone cell	UBERON:0009987	medial epicondyle of femur	medial epicondyle of femur	41.109821796358226
534	CL:0001035	bone cell	bone cell	UBERON:0004609	rib 10	rib 10	41.109821796358226
540	CL:0001035	bone cell	bone cell	UBERON:0004610	rib 11	rib 11	41.109821796358226
526	CL:0001035	bone cell	bone cell	UBERON:0004609	rib 10	rib 10	41.109821796358226
532	CL:0001035	bone cell	bone cell	UBERON:0004609	rib 10	rib 10	41.109821796358226
