s	slabel	user_slabel	o	olabel	user_olabel	row_number
UBERON:0004041	spleen primary B follicle	Primary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	61
UBERON:0004041	spleen primary B follicle	Primary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	62
UBERON:0004041	spleen primary B follicle	Primary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	63
UBERON:0004041	spleen primary B follicle	Primary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	64
UBERON:0004041	spleen primary B follicle	Primary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	65
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	67
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	80
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	79
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	66
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	78
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	77
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	68
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	69
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	76
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	70
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	71
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	75
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	72
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	81
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	73
UBERON:0004042	spleen secondary B follicle	Secondary Follicle	UBERON:0001959	white pulp of spleen	White Pulp	74
UBERON:0010401	Spleen central arteriole	Spleen central arteriole	UBERON:1000023	spleen pulp	Splenic Pulp	18
UBERON:0010401	Spleen central arteriole	Spleen central arteriole	UBERON:1000023	spleen pulp	Splenic Pulp	21
UBERON:0010401	Spleen central arteriole	Spleen central arteriole	UBERON:1000023	spleen pulp	Splenic Pulp	17
UBERON:0010401	Spleen central arteriole	Spleen central arteriole	UBERON:1000023	spleen pulp	Splenic Pulp	20
UBERON:0010401	Spleen central arteriole	Spleen central arteriole	UBERON:1000023	spleen pulp	Splenic Pulp	14
UBERON:0010401	Spleen central arteriole	Spleen central arteriole	UBERON:1000023	spleen pulp	Splenic Pulp	19
UBERON:0010401	Spleen central arteriole	Spleen central arteriole	UBERON:1000023	spleen pulp	Splenic Pulp	16
UBERON:0010401	Spleen central arteriole	Spleen central arteriole	UBERON:1000023	spleen pulp	Splenic Pulp	15
