Cell type	Cell type label	Behavior	Behavior label
CL:0000242	Merkel cell	GO:0002376	immune system process
CL:0000540	neuron	GO:0098919	structural constituent of postsynaptic density
CL:0000097	mast cell	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
CL:0000815	regulatory T cell	GO:0006955	immune response
CL:0000545	T-helper 1 cell	GO:0032609	interferon-gamma production
CL:0000242	Merkel cell	GO:0071704	organic substance metabolic process
CL:0000097	mast cell	GO:0051240	positive regulation of multicellular organismal process
CL:0001006	dermal dendritic cell	GO:0051249	regulation of lymphocyte activation
CL:0000540	neuron	GO:0016058	maintenance of membrane potential in photoreceptor cell by rhodopsin mediated signaling
CL:0000236	B cell	GO:0006955	immune response
CL:0000540	neuron	GO:0016198	axon choice point recognition
CL:0000815	regulatory T cell	GO:0002449	lymphocyte mediated immunity
CL:0000646	basal cell	GO:0009987	cellular process
CL:0000312	keratinocyte	GO:0090023	positive regulation of neutrophil chemotaxis
CL:0000545	T-helper 1 cell	GO:0048870	cell motility
CL:0001006	dermal dendritic cell	GO:0050794	regulation of cellular process
CL:0000097	mast cell	GO:0040017	positive regulation of locomotion
CL:0000242	Merkel cell	GO:0048522	positive regulation of cellular process
CL:0000540	neuron	GO:0061530	aspartate secretion, neurotransmission
CL:0001069	group 2 innate lymphoid cell	GO:0043207	response to external biotic stimulus
CL:0000540	neuron	GO:0099592	endocytosed synaptic vesicle processing via endosome
CL:0001069	group 2 innate lymphoid cell	GO:0051707	response to other organism
CL:0000540	neuron	GO:0023052	signaling
CL:0000097	mast cell	GO:0033368	protease localization to mast cell secretory granule
CL:0000623	natural killer cell	GO:0044419	biological process involved in interspecies interaction between organisms
CL:0000312	keratinocyte	GO:0051234	establishment of localization
CL:0000910	cytotoxic T cell	GO:1902483	cytotoxic T cell pyroptotic process
CL:0000623	natural killer cell	GO:0006928	movement of cell or subcellular component
CL:0002457	epidermal Langerhans cell	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
CL:0000910	cytotoxic T cell	GO:0006928	movement of cell or subcellular component
CL:0000097	mast cell	GO:0050789	regulation of biological process
CL:0000097	mast cell	GO:0050920	regulation of chemotaxis
CL:0002337	keratinocyte stem cell	GO:0002776	antimicrobial peptide secretion
CL:0000540	neuron	GO:0016183	synaptic vesicle coating
CL:0002457	epidermal Langerhans cell	GO:0008152	metabolic process
CL:0001006	dermal dendritic cell	GO:1903706	regulation of hemopoiesis
CL:0000540	neuron	GO:1990832	slow axonal transport
CL:0000097	mast cell	GO:0006807	nitrogen compound metabolic process
CL:0000236	B cell	GO:0002250	adaptive immune response
CL:0002457	epidermal Langerhans cell	GO:0016477	cell migration
CL:0001067	group 1 innate lymphoid cell	GO:0040011	locomotion
CL:0001067	group 1 innate lymphoid cell	GO:0050896	response to stimulus
CL:0000235	macrophage	GO:0048870	cell motility
CL:0000545	T-helper 1 cell	GO:0002252	immune effector process
CL:0000540	neuron	GO:0021785	branchiomotor neuron axon guidance
CL:0000540	neuron	GO:0098700	neurotransmitter loading into synaptic vesicle
CL:0000545	T-helper 1 cell	GO:0010467	gene expression
CL:0000540	neuron	GO:0070050	neuron cellular homeostasis
CL:0002337	keratinocyte stem cell	GO:0032502	developmental process
CL:0000649	prickle cell	GO:0043170	macromolecule metabolic process
CL:0000540	neuron	GO:0098957	anterograde axonal transport of mitochondrion
CL:0000242	Merkel cell	GO:0002682	regulation of immune system process
CL:0002337	keratinocyte stem cell	GO:0051707	response to other organism
CL:0000623	natural killer cell	GO:0050789	regulation of biological process
CL:0000540	neuron	GO:0019228	neuronal action potential
CL:0000775	neutrophil	GO:0009987	cellular process
CL:0000236	B cell	GO:0002453	peripheral B cell anergy
CL:0000151	secretory cell	GO:0036516	chemoattraction of dopaminergic neuron axon
CL:0000649	prickle cell	GO:0044419	biological process involved in interspecies interaction between organisms
CL:0001069	group 2 innate lymphoid cell	GO:0032634	interleukin-5 production
CL:0000312	keratinocyte	GO:0015833	peptide transport
CL:0001006	dermal dendritic cell	GO:0009987	cellular process
CL:0000540	neuron	GO:0110088	hippocampal neuron apoptotic process
CL:0001071	group 3 innate lymphoid cell	GO:0006955	immune response
CL:0000312	keratinocyte	GO:0019730	antimicrobial humoral response
CL:0002337	keratinocyte stem cell	GO:2000145	regulation of cell motility
CL:0000815	regulatory T cell	GO:0002683	negative regulation of immune system process
CL:0000540	neuron	GO:0014860	neurotransmitter secretion involved in regulation of skeletal muscle contraction
CL:0000623	natural killer cell	GO:0006952	defense response
CL:0000540	neuron	GO:1905584	outer hair cell apoptotic process
CL:0000623	natural killer cell	GO:0043170	macromolecule metabolic process
CL:0000236	B cell	GO:0002342	central B cell deletion
CL:0001071	group 3 innate lymphoid cell	GO:0008152	metabolic process
CL:0000097	mast cell	GO:0051674	localization of cell
CL:0000649	prickle cell	GO:0040017	positive regulation of locomotion
CL:0001071	group 3 innate lymphoid cell	GO:0016477	cell migration
CL:0002457	epidermal Langerhans cell	GO:0045619	regulation of lymphocyte differentiation
CL:0000540	neuron	GO:0140251	regulation protein catabolic process at presynapse
CL:0000097	mast cell	GO:0040012	regulation of locomotion
CL:0002337	keratinocyte stem cell	GO:0006952	defense response
CL:0000235	macrophage	GO:0120036	plasma membrane bounded cell projection organization
CL:0000312	keratinocyte	GO:0071624	positive regulation of granulocyte chemotaxis
CL:0000771	eosinophil	GO:0043308	eosinophil degranulation
CL:0002337	keratinocyte stem cell	GO:0048584	positive regulation of response to stimulus
CL:0000545	T-helper 1 cell	GO:0008150	biological_process
CL:0000649	prickle cell	GO:0050920	regulation of chemotaxis
CL:0000540	neuron	GO:0098746	fast, calcium ion-dependent exocytosis of neurotransmitter
CL:0001067	group 1 innate lymphoid cell	GO:0001770	establishment of natural killer cell polarity
CL:0001071	group 3 innate lymphoid cell	GO:0051674	localization of cell
CL:0000236	B cell	GO:0002449	lymphocyte mediated immunity
CL:0000540	neuron	GO:0099531	presynaptic process involved in chemical synaptic transmission
CL:0001006	dermal dendritic cell	GO:0043170	macromolecule metabolic process
CL:0002457	epidermal Langerhans cell	GO:0040011	locomotion
CL:0001006	dermal dendritic cell	GO:0065007	biological regulation
CL:0000151	secretory cell	GO:0009987	cellular process
CL:0000775	neutrophil	GO:0043312	neutrophil degranulation
CL:0000097	mast cell	GO:0033373	maintenance of protease location in mast cell secretory granule
CL:0001067	group 1 innate lymphoid cell	GO:0051707	response to other organism
CL:0002337	keratinocyte stem cell	GO:0032103	positive regulation of response to external stimulus
CL:0000623	natural killer cell	GO:0032609	interferon-gamma production
CL:0001006	dermal dendritic cell	GO:1902105	regulation of leukocyte differentiation
CL:0000815	regulatory T cell	GO:0048519	negative regulation of biological process
CL:0000775	neutrophil	GO:0003013	circulatory system process
CL:0000649	prickle cell	GO:0051179	localization
CL:0000151	secretory cell	GO:0036514	dopaminergic neuron axon guidance
CL:0000540	neuron	GO:0016082	synaptic vesicle priming
CL:0000097	mast cell	GO:0071704	organic substance metabolic process
CL:0000646	basal cell	GO:0048869	cellular developmental process
CL:0000623	natural killer cell	GO:0098542	defense response to other organism
CL:0002457	epidermal Langerhans cell	GO:0050793	regulation of developmental process
CL:0002457	epidermal Langerhans cell	GO:0050863	regulation of T cell activation
CL:0000623	natural killer cell	GO:0002443	leukocyte mediated immunity
CL:0000649	prickle cell	GO:0009607	response to biotic stimulus
CL:0000545	T-helper 1 cell	GO:0050896	response to stimulus
CL:0000771	eosinophil	GO:0001667	ameboidal-type cell migration
CL:0001069	group 2 innate lymphoid cell	GO:0006952	defense response
CL:0000910	cytotoxic T cell	GO:0006955	immune response
CL:0000540	neuron	GO:0099123	somato-dendritic dopamine secretion
CL:0000910	cytotoxic T cell	GO:0051179	localization
