s	slabel	user_slabel	o	olabel	user_olabel
CL:0010008	cardiac endothelial cell	cardiac endothelial cell	UBERON:0002079	left cardiac atrium	left cardiac atrium
CL:0010008	cardiac endothelial cell	cardiac endothelial cell	UBERON:0002084	heart left ventricle	heart left ventricle
UBERON:0000947	aorta	aorta	UBERON:0002084	heart left ventricle	heart left ventricle
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0000947	aorta	aorta
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001496	ascending aorta	ascending aorta
UBERON:0001508	arch of aorta	arch of aorta	UBERON:0001496	ascending aorta	ascending aorta
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001508	arch of aorta	arch of aorta
UBERON:0001529	brachiocephalic artery	brachiocephalic artery	UBERON:0001508	arch of aorta	arch of aorta
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001529	brachiocephalic artery	brachiocephalic artery
UBERON:0001531	right common carotid artery plus branches	right common carotid artery plus branches	UBERON:0001529	brachiocephalic artery	brachiocephalic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001531	right common carotid artery plus branches	right common carotid artery plus branches
UBERON:0001534	right subclavian artery	right subclavian artery	UBERON:0001529	brachiocephalic artery	brachiocephalic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001534	right subclavian artery	right subclavian artery
UBERON:0001530	common carotid artery plus branches	common carotid artery plus branches	UBERON:0001508	arch of aorta	arch of aorta
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001530	common carotid artery plus branches	common carotid artery plus branches
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001070	external carotid artery	external carotid artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0010249	posterior meningeal artery	posterior meningeal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001612	facial artery	facial artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0010408	ocular angle artery	ocular angle artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0003471	artery of lower lip	artery of lower lip
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0003470	artery of upper lip	artery of upper lip
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001610	lingual artery	lingual artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001611	sublingual artery	sublingual artery
