s	slabel	user_slabel	o	olabel	user_olabel
CL:0000129	microglial cell	microglial cell	CL:0000540	neuron	Neuron
CL:0000129	microglial cell	microglial cell	UBERON:0000966	retina	retina
CL:0000132	corneal endothelial cell	corneal endothelial cell	UBERON:0001985	corneal endothelium	corneal endothelium
CL:0000573	retinal cone cell	retinal cone cell	UBERON:0001789	outer nuclear layer of retina	outer nuclear layer
CL:0000604	retinal rod cell	retinal rod cell	UBERON:0001789	outer nuclear layer of retina	outer nuclear layer
CL:0000669	pericyte	Pericyte	UBERON:0004864	vasculature of retina	vasculature
CL:0000749	ON-bipolar cell	ON Bipolar cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer
CL:0000750	OFF-bipolar cell	OFF Bipolar cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer
CL:0000751	rod bipolar cell	rod bipolar cell	CL:0000749	ON-bipolar cell	ON Bipolar cell
CL:0000751	rod bipolar cell	rod bipolar cell	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer
CL:0002225	secondary lens fiber	mature fiber cell	UBERON:0000390	lens nucleus	Fetal nucleus
CL:0002228	primary lens fiber	primary lens fiber	UBERON:0002444	lens fiber	lens Fibers
CL:0002303	pigmented ciliary epithelial cell	pigmented ciliary epithelial cell	UBERON:0001778	ciliary epithelium	ciliary epithelium
CL:0002304	non-pigmented ciliary epithelial cell	non-pigmented ciliary epithelial cell	UBERON:0001778	ciliary epithelium	ciliary epithelium
CL:0002363	keratocyte	keratocyte	UBERON:0003952	anterior stroma of cornea	anterior stroma of cornea
CL:0002585	retinal blood vessel endothelial cell	Endothelial Cell	UBERON:0004864	vasculature of retina	vasculature
CL:0011004	lens fiber cell	lens fiber cell	UBERON:0000389	lens cortex	cortex
CL:0011004	lens fiber cell	lens fiber cell	UBERON:0000390	lens nucleus	Adult nucleus
CL:0011005	GABAergic interneuron	GABAergic interneuron	CL:0000561	Amacrine Cell	Amacrine cell
CL:0011107	obsolete Muller cell	Muller glia	CL:0000540	neuron	Neuron
CL:0011107	obsolete Muller cell	Muller glia	UBERON:0001791	inner nuclear layer of retina	inner nuclear layer
CL:0017004	telocyte	telocyte	UBERON:0003952	anterior stroma of cornea	anterior stroma of cornea
UBERON:0001776	optic choroid	optic choroid	UBERON:0002203	vasculature of eye	vasculature of eye
UBERON:0002203	vasculature of eye	vasculature of eye	UBERON:0000966	retina	retina
UBERON:0006762	suspensory ligament of lens	ciliary zonules	UBERON:0000965	lens of camera-type eye	lens
