s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0012499	serosa of uterine tube	serosa of uterine tube	UBERON:0016632	isthmus of fallopian tube	isthmus of fallopian tube
UBERON:0006642	muscle layer of oviduct	muscle layer of oviduct	UBERON:0016632	isthmus of fallopian tube	isthmus of fallopian tube
UBERON:0005048	mucosa of uterine tube	mucosa of uterine tube	UBERON:0016632	isthmus of fallopian tube	isthmus of fallopian tube
UBERON:0004804	oviduct epithelium	oviduct epithelium	UBERON:0005048	mucosa of uterine tube	mucosa of uterine tube
UBERON:0012499	serosa of uterine tube	serosa of uterine tube	UBERON:0012648	ampulla of uterine tube	ampulla of uterine tube
UBERON:0006642	muscle layer of oviduct	muscle layer of oviduct	UBERON:0012648	ampulla of uterine tube	ampulla of uterine tube
UBERON:0005048	mucosa of uterine tube	mucosa of uterine tube	UBERON:0012648	ampulla of uterine tube	ampulla of uterine tube
UBERON:0003984	uterine tube infundibulum	uterine tube infundibulum	UBERON:0003889	fallopian tube	fallopian tube
UBERON:0012499	serosa of uterine tube	serosa of uterine tube	UBERON:0003984	uterine tube infundibulum	uterine tube infundibulum
UBERON:0006642	muscle layer of oviduct	muscle layer of oviduct	UBERON:0003984	uterine tube infundibulum	uterine tube infundibulum
UBERON:0005048	mucosa of uterine tube	mucosa of uterine tube	UBERON:0003984	uterine tube infundibulum	uterine tube infundibulum
UBERON:0012499	serosa of uterine tube	serosa of uterine tube	UBERON:8410010	fimbria of uterine tube	fimbria of uterine tube
UBERON:0006642	muscle layer of oviduct	muscle layer of oviduct	UBERON:8410010	fimbria of uterine tube	fimbria of uterine tube
UBERON:0005048	mucosa of uterine tube	mucosa of uterine tube	UBERON:8410010	fimbria of uterine tube	fimbria of uterine tube
UBERON:0012331	mesosalpinx	mesosalpinx	UBERON:0003889	fallopian tube	fallopian tube
