s	slabel	user_slabel	o	olabel	user_olabel
CL:0000632	hepatic stellate cell	hepatic stellate cell	UBERON:0006729	liver perisinusoidal space	liver perisinusoidal space
UBERON:0005452	hepatic cord	hepatic cord	UBERON:0004647	liver lobule	liver lobule
CL:0019026	periportal region hepatocyte	periportal region hepatocyte	UBERON:0005452	hepatic cord	hepatic cord
CL:0019029	centrilobular region hepatocyte	centrilobular region hepatocyte	UBERON:0005452	hepatic cord	hepatic cord
CL:0019028	midzonal region hepatocyte	midzonal region hepatocyte	UBERON:0005452	hepatic cord	hepatic cord
CL:0002543	vein endothelial cell	vein endothelial cell	UBERON:0006841	central vein of liver	central vein of liver
UBERON:0001279	portal triad	portal triad	UBERON:0004647	liver lobule	liver lobule
CL:0000241	stratified cuboidal epithelial cell	stratified cuboidal epithelial cell	UBERON:0001279	portal triad	portal triad
CL:0000075	columnar/cuboidal epithelial cell	columnar/cuboidal epithelial cell	UBERON:0001279	portal triad	portal triad
CL:0002543	vein endothelial cell	vein endothelial cell	UBERON:0001279	portal triad	portal triad
CL:0000526	afferent neuron	afferent neuron cell	UBERON:0001279	portal triad	portal triad
CL:1000413	endothelial cell of artery	endothelial cell of artery	UBERON:0001279	portal triad	portal triad
CL:0019018	blood vessel smooth muscle cell	blood vessel smooth muscle cell	UBERON:0001279	portal triad	portal triad
CL:1000036	hepatic oval cell 	Hepatic oval cell	UBERON:0004647	liver lobule	liver lobule
CL:1000036	hepatic oval cell  replaced with Hepatic Progenitor Cell I request a term CL	hepatic oval cell  replaced with Hepatic Progenitor Cell I request a term CL	UBERON:0004647	liver lobule	liver lobule
CL:1000421	hepatic lymphatic endothelial cell	lymphatic endothelial cell	UBERON:0004647	liver lobule	liver lobule
UBERON:0016478	liver stroma	liver stroma	UBERON:0004647	liver lobule	liver lobule
CL:0001056	dendritic cell, human	human Dendritic cell	UBERON:0004647	liver lobule	liver lobule
CL:0000990	conventional dendritic cell	conventional dendritic cell	UBERON:0004647	liver lobule	liver lobule
CL:0002399	CD1c-positive myeloid dendritic cell	CD1c+ myeloid dendritic cell	UBERON:0004647	liver lobule	liver lobule
CL:0000784	plasmacytoid Dendritic cell	plasmacytoid dendritic cell	UBERON:0004647	liver lobule	liver lobule
CL:0000624	CD4-positive, alpha-beta T cell	CD4 positive alpha beta	UBERON:0004647	liver lobule	liver lobule
CL:0000798	gamma-delta T cell	gamma delta T cell	UBERON:0004647	liver lobule	liver lobule
CL:0001203	CD8-positive, alpha-beta memory T cell, CD45RO-positive	CD8 positiver alpha beta memory T cell CD45RO +	UBERON:0004647	liver lobule	liver lobule
CL:0000921	type I NK T cell	Type I NK T cell	UBERON:0004647	liver lobule	liver lobule
CL:0000623	natural killer cell	Natural killer Cell	UBERON:0004647	liver lobule	liver lobule
