s	slabel	user_slabel	o	olabel	user_olabel
CL:0000186	myofibroblast cell	myofibroblast cell	UBERON:0002194	capsule of lymph node	capsule of lymph node
UBERON:8410042	arteriole of lymph node	arteriole of lymph node	UBERON:0002194	capsule of lymph node	capsule of lymph node
UBERON:8410041	venule of lymph node	venule of lymph node	UBERON:0002194	capsule of lymph node	capsule of lymph node
UBERON:0002195	trabecula of lymph node	trabecula of lymph node	UBERON:0002194	capsule of lymph node	capsule of lymph node
CL:0000186	myofibroblast cell	myofibroblast cell	UBERON:0002195	trabecula of lymph node	trabecula of lymph node
UBERON:8410042	arteriole of lymph node	arteriole of lymph node	UBERON:0002195	trabecula of lymph node	trabecula of lymph node
UBERON:8410041	venule of lymph node	venule of lymph node	UBERON:0002195	trabecula of lymph node	trabecula of lymph node
CL:0000669	pericyte cell	pericyte cell	UBERON:8410041	venule of lymph node	venule of lymph node
UBERON:0010396	Afferent lymphatic vessel	afferent lymphatic vessel	UBERON:0005463	subcapsular sinus of lymph node	subcapsular sinus of lymph node
UBERON:0001473	lymphatic vessel	lymphatic vessel	UBERON:0010396	Afferent lymphatic vessel	afferent lymphatic vessel
CL:0000887	lymph node subcapsular sinus macrophage	lymph node subcapsular sinus macrophage	UBERON:0005463	subcapsular sinus of lymph node	subcapsular sinus of lymph node
UBERON:8410032	trabecular sinus of lymph node	trabecular sinus of lymph node	UBERON:0005463	subcapsular sinus of lymph node	subcapsular sinus of lymph node
UBERON:8410041	venule of lymph node	venule of lymph node	UBERON:0002006	cortex of lymph node	cortex of lymph node
UBERON:8410042	arteriole of lymph node	arteriole of lymph node	UBERON:0002006	cortex of lymph node	cortex of lymph node
CL:0000442	Follicular Dendritic Cell	follicular dendritic cell	UBERON:0010395	lymph node primary follicle	lymph node primary follicle
CL:0000787	Memory B Cell	memory B cell	UBERON:0010395	lymph node primary follicle	lymph node primary follicle
CL:0000235	Macrophage	macrophage	UBERON:0010395	lymph node primary follicle	lymph node primary follicle
CL:0000442	Follicular Dendritic Cell	follicular dendritic cell	UBERON:8410052	lymph node germinal center light zone	lymph node germinal center light zone
CL:0002038	T Follicular Helper Cell	T follicular helper cell	UBERON:8410052	lymph node germinal center light zone	lymph node germinal center light zone
CL:0000888	lymph node tingible body macrophage	lymph node tingible body macrophage	UBERON:8410052	lymph node germinal center light zone	lymph node germinal center light zone
CL:0000980	Plasmablast	plasmablast	UBERON:8410052	lymph node germinal center light zone	lymph node germinal center light zone
UBERON:0010420	lymph node germinal center mantle zone	lymph node germinal center mantle zone	UBERON:0009039	lymph node germinal center	lymph node germinal center
CL:0000788	Naive B Cell	naive B cell	UBERON:0010420	lymph node germinal center mantle zone	lymph node germinal center mantle zone
CL:0000787	Memory B Cell	memory B cell	UBERON:0010420	lymph node germinal center mantle zone	lymph node germinal center mantle zone
CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0000897	CD4-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0000545	T-helper 1 cell	T-helper 1 cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0000546	T-helper 2 cell	T-helper 2 cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0000899	T-helper 17 cell	T-helper 17 cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0000815	regulatory T cell	regulatory T cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0000910	cytotoxic T cell	cytotoxic T cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	naive thymus-derived CD8-positive, alpha-beta T cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0000909	CD8-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0000623	Natural Killer Cell	natural killer cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0000451	Dendritic Cell	dendritic cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0002399	CD1c-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	UBERON:8410067	lymph node interfollicular cortex	lymph node interfollicular cortex
CL:0002138	Lymphatic Endothelial Cell	endothelial cell of lymphatic vessel	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000235	Macrophage	macrophage	UBERON:8410066	lymph node paracortex	lymph node paracortex
UBERON:8410042	arteriole of lymph node	arteriole of lymph node	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000071	Blood Vessel Endothelial Cell	blood vessel endothelial cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
UBERON:8410038	high endothelial venule of lymph node	high endothelial venule of lymph node	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0001058	plasmacytoid dendritic cell, human	plasmacytoid dendritic cell, human	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0002394	CD141-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000451	Dendritic Cell	dendritic cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000897	CD4-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000545	T-helper 1 cell	T-helper 1 cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000546	T-helper 2 cell	T-helper 2 cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000899	T-helper 17 cell	T-helper 17 cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000798	gamma-delta T cell	gamma-delta T cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000815	regulatory T cell	regulatory T cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000910	cytotoxic T cell	cytotoxic T cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	naive thymus-derived CD8-positive, alpha-beta T cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000909	CD8-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000623	Natural Killer Cell	natural killer cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000097	Mast Cell	mast cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000786	Plasma Cell	plasma cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000236	B Cell	B cell	UBERON:8410066	lymph node paracortex	lymph node paracortex
CL:0000084	T Cell	T Cell	UBERON:0009745	lymph node medullary cord	lymph node medullary cord
CL:0002138	Lymphatic Endothelial Cell	endothelial cell of lymphatic vessel	UBERON:0009744	lymph node medullary sinus	lymph node medullary sinus
CL:0000786	Plasma Cell	plasma cell	UBERON:0009745	lymph node medullary cord	lymph node medullary cord
CL:0000236	B Cell	B cell	UBERON:0009745	lymph node medullary cord	lymph node medullary cord
CL:0000097	Mast Cell	mast cell	UBERON:0009745	lymph node medullary cord	lymph node medullary cord
CL:0000235	Macrophage	macrophage	UBERON:0009745	lymph node medullary cord	lymph node medullary cord
CL:0000980	Plasmablast	plasmablast	UBERON:0009745	lymph node medullary cord	lymph node medullary cord
CL:0000451	Dendritic Cell	dendritic cell	UBERON:0009745	lymph node medullary cord	lymph node medullary cord
UBERON:8410034	lymph node artery	lymph node artery	UBERON:0002007	medulla of lymph node	medulla of lymph node
UBERON:8410033	lymph node vein	lymph node vein	UBERON:0002007	medulla of lymph node	medulla of lymph node
UBERON:8410036	medullary venule of lymph node	medullary venule of lymph node	UBERON:8410033	lymph node vein	lymph node vein
CL:0000669	pericyte cell	pericyte cell	UBERON:0002007	medulla of lymph node	medulla of lymph node
UBERON:0005463	subcapsular sinus of lymph node	subcapsular sinus of lymph node	UBERON:0002007	medulla of lymph node	medulla of lymph node
UBERON:0010397	efferent lymphatic vessel	efferent lymphatic vessel	UBERON:0035495	hilum of lymph node	hilum of lymph node
CL:0002138	Lymphatic Endothelial Cell	endothelial cell of lymphatic vessel	UBERON:0010397	efferent lymphatic vessel	efferent lymphatic vessel
CL:0019017	lymphatic vessel smooth muscle cell	lymphatic vessel smooth muscle cell	UBERON:0010397	efferent lymphatic vessel	efferent lymphatic vessel
UBERON:0034729	Sympathetic nerve	sympathetic nerve	UBERON:0035495	hilum of lymph node	hilum of lymph node
CL:0011103	Sympathetic Neuron	sympathetic neuron	UBERON:0034729	Sympathetic nerve	sympathetic nerve
UBERON:8410034	lymph node artery	lymph node artery	UBERON:0035495	hilum of lymph node	hilum of lymph node
UBERON:8410033	lymph node vein	lymph node vein	UBERON:0035495	hilum of lymph node	hilum of lymph node
