Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References
UBERON:0002371	Bone marrow	Bone marrow	CL:0000037	hemopoietic stem cell	hemopoietic stem cell (HSC)	HGNC:894, HGNC:2356, HGNC:7945, HGNC:1036, HGNC:9454, HGNC:4977, HGNC:4977, HGNC:7136, HGNC:1639, HGNC:1674, HGNC:1628, HGNC:3619, HGNC:1633, HGNC:7656, HGNC:4702, HGNC:1662, HGNC:1667, HGNC:9666, HGNC:11801	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000049	common myeloid progenitor	common myeloid progenitor (CMP)	HGNC:5154, HGNC:4171, HGNC:24435, HGNC:3311, HGNC:7028, HGNC:1674, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:1662, HGNC:1667, HGNC:6012, HGNC:9666, HGNC:3765	DOI:10.1038/ni.1889
UBERON:0002371	Bone marrow	Bone marrow	CL:0000050	megakaryocyte-erythroid progenitor cell	megakaryocyte-erythroid-mast cell progenitor (MEMP)	HGNC:1662, HGNC:11245, HGNC:31397, HGNC:4171, HGNC:29109, HGNC:5992, HGNC:15879, HGNC:4170, HGNC:1674, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:1662, HGNC:1667, HGNC:6012, HGNC:9666, HGNC:3765	DOI:10.1038/ni.1889
UBERON:0002371	Bone marrow	Bone marrow	CL:0000051	common lymphoid progenitor	common lymphoid progenitor (CLP)	HGNC:16505, HGNC:186, HGNC:9352, HGNC:12749, HGNC:12560, HGNC:7203, HGNC:1674, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:1662, HGNC:1667, HGNC:6024	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000097	mast cell	mast cell	HGNC:4855, HGNC:2014, HGNC:2298, HGNC:6017, HGNC:4171, HGNC:7317, HGNC:17890, HGNC:12019, HGNC:6342, HGNC:6017, HGNC:6024, HGNC:3609	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000553	megakaryocyte progenitor cell	early Megakaryocyte (MK)	HGNC:4171, HGNC:3609, HGNC:9070, HGNC:10690, HGNC:2067, HGNC:8861, HGNC:3618, HGNC:4439, HGNC:6138, HGNC:6156	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000556	megakaryocyte	Megakaryocyte (MK)	HGNC:4444, HGNC:10690, HGNC:9240, HGNC:18874, HGNC:8861, HGNC:24356, HGNC:6138, HGNC:8861, HGNC:3618, HGNC:4439, HGNC:6138, HGNC:6156	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000557	granulocyte monocyte progenitor cell	granulocyte-macrophage progenitor cell (GMP)	HGNC:1662, HGNC:1455, HGNC:10576, HGNC:7218, HGNC:913, HGNC:1674, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:1662, HGNC:1667, HGNC:6012, HGNC:9666, HGNC:3765	DOI:10.1038/ni.1889
UBERON:0002371	Bone marrow	Bone marrow	CL:0000559	promonocyte	promonocyte	HGNC:2558, HGNC:1603, HGNC:1603, HGNC:10494, HGNC:10496, HGNC:2475, HGNC:1662, HGNC:1667, HGNC:7154, HGNC:6342, HGNC:31713, HGNC:6012, HGNC:3613, HGNC:1628, HGNC:28874	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000764	erythroid lineage cell	early erythroid	HGNC:7553, HGNC:607, HGNC:31397, HGNC:6251, HGNC:11529, HGNC:1663, HGNC:6345, HGNC:4170, HGNC:9666, HGNC:11763, HGNC:1663, HGNC:6342, HGNC:3349, HGNC:4702	DOI:10.1371/journal.pone.0162209
