Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References
UBERON:0002067	dermis	Dermis	CL:0000097	mast cell	Mast cell	HGNC:1604, HGNC:3358, HGNC:6342	DOI:10.1016/S1081-1206(10)62853-0|DOI:10.1111/imr.12639|NoDOI|DOI:10.1159/000053694.|PMID:10582733||PMID:29431209||PMID:7682764|PMID:11306952
UBERON:0002072	hypodermis	Subcutaneous	CL:0000097	mast cell	Mast cell	HGNC:1604, HGNC:3358, HGNC:6342	DOI:10.1016/S1081-1206(10)62853-0|DOI:10.1111/imr.12639.||DOI:10.1159/000053694|PMID:10582733||PMID:29431209||PMID:7682764|PMID:11306952
UBERON:0035549	vasculature of integument	Blood vessels	CL:0000115	endothelial cell	Endothelial cell	HGNC:3446, HGNC:8823	DOI:10.1111/1523-1747.ep12512516|DOI:10.1152/ajpcell.00524.2001|DOI:10.1016/j.vph.2016.05.003|PMID:778283|PMID:11940533||PMID:27208692
UBERON:0001821	sebaceous gland	Sebaceous glands	CL:0000151	sebum secreting cell	Germinative (epithelial) cell, Sebocyte	HGNC:248, HGNC:7508	DOI:10.1016/j.biocel.2009.11.017|DOI:10.4161/derm.1.2.8736|DOI:10.1016/j.bbagen.2013.05.016|PMID:19944183|PMID:20224690|PMID:23688400
UBERON:0002072	hypodermis	Subcutaneous	CL:0000235	macrophage	Macrophage	HGNC:1631, HGNC:1693	DOI:10.1038/nri2622|DOI:10.1038/labinvest.2016.116|DOI:10.1038/jid.2010.165|PMID:19763149|PMID:27869795|PMID:20555352
UBERON:0002067	dermis	Dermis	CL:0000235	macrophage	Macrophage	HGNC:1631, HGNC:1693	DOI:10.1038/nri2622|DOI:10.1136/ard.2003.013029|DOI:10.1016/j.actatropica.2016.01.008|PMID:19763149|PMID:15194571|PMID:26827741|
UBERON:0002072	hypodermis	Subcutaneous	CL:0000236	B cell	B cell	HGNC:1633, HGNC:1698, HGNC:7315	DOI:10.4049/jimmunol.1801211|DOI:10.4049/jimmunol.1801211|DOI:10.4049/jimmunol.1801211|PMID:30833422|PMID:30833422|PMID:30833422
UBERON:0002067	dermis	Dermis	CL:0000236	B cell	B cell	HGNC:1633, HGNC:1698, HGNC:7315	DOI:10.4049/jimmunol.1801211|PMID:30833422
UBERON:0002025	stratum basale of epidermis	Stratum basale (SB)	CL:0000242	Merkel cell	Merkel cell	HGNC:11506, HGNC:1929, HGNC:20412	DOI:10.4103/0973-029X.125208|DOI:10.1111/1523-1747.ep12606183|DOI:10.1111/1523-1747.ep12319788|DOI:10.1083/jcb.200603161|PMID:24574661|PMID:2677156|PMID:16831889
UBERON:0002026	stratum spinosum of epidermis	Stratum spinosum (SS)	CL:0000242	Merkel cell	Merkel cell	HGNC:11506, HGNC:20412	DOI:10.4103/0973-029X.125208|DOI:10.1159/000248491|DOI:10.1111/1523-1747.ep12606183|PMID:24574661|PMID:3141225
