Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	CL Name	References/ID	References/DOI
UBERON:0002078	right atrium	right cardiac atrium	neuronal		
UBERON:0002078	right atrium	right cardiac atrium	pericyte		
UBERON:0002078	right atrium	right cardiac atrium	telocyte (interstitial like cell of cajal)		
UBERON:0002079	left atrium	left cardiac atrium	neuronal		
UBERON:0001982	vasculature	capillary	pericyte		
UBERON:0001979	vasculature	venule	pericyte		
UBERON:0002079	left atrium	left cardiac atrium	telocyte (interstitial like cell of cajal)		
UBERON:0006566	myocardium	left ventricle myocardium	Purkinje fiber cell		
UBERON:0006566	myocardium	left ventricle myocardium	telocyte (interstitial like cell of cajal)		
UBERON:0002094	septum	interventricular septum	Purkinje fiber cell		
UBERON:0002094	septum	interventricular septum	telocyte (interstitial like cell of cajal)		
UBERON:0006567	myocardium	right ventricle myocardium	Purkinje fiber cell		
UBERON:0002080	right ventricle	heart right ventricle	telocyte (interstitial like cell of cajal)		
UBERON:0002080	right ventricle	heart right ventricle	Purkinje fiber cell		
UBERON:0002134	Tricuspid valve	Tricuspid valve	valve interstitial cell		
UBERON:0002146	Pulmonary Valve	Pulmonary Valve	valve interstitial cell		
UBERON:0002135	Mitral valve	Mitral valve	valve interstitial cell		
UBERON:0002137	Aortic valve	Aortic valve	valve interstitial cell		
