term	image_url
UBERON:0002353	http://upload.wikimedia.org/wikipedia/commons/5/50/ConductionsystemoftheheartwithouttheHeart.png
UBERON:0002353	http://upload.wikimedia.org/wikipedia/commons/b/b6/ECG_Principle_fast.gif
UBERON:0002134	http://upload.wikimedia.org/wikipedia/commons/2/20/Diagram_of_the_human_heart_%28cropped%29.svg
UBERON:0002351	http://upload.wikimedia.org/wikipedia/commons/d/de/Sinoatrial_node_2_low_mag.jpg
UBERON:0002049	http://upload.wikimedia.org/wikipedia/commons/2/29/Circulatory_System_en.svg
UBERON:0001625	http://upload.wikimedia.org/wikipedia/commons/4/46/Gray492.png
UBERON:0002080	http://upload.wikimedia.org/wikipedia/commons/2/20/Diagram_of_the_human_heart_%28cropped%29.svg
UBERON:0001979	https://upload.wikimedia.org/wikipedia/commons/d/da/Illu_capillary.jpg
UBERON:0002094	http://upload.wikimedia.org/wikipedia/commons/9/96/Gray498.png
UBERON:0001982	http://upload.wikimedia.org/wikipedia/commons/2/2f/A_red_blood_cell_in_a_capillary,_pancreatic_tissue_-_TEM.jpg
UBERON:0002352	http://upload.wikimedia.org/wikipedia/commons/9/92/Gray501.png
UBERON:0006958	http://upload.wikimedia.org/wikipedia/commons/5/57/Gray556.png
UBERON:0002078	http://upload.wikimedia.org/wikipedia/commons/2/20/Diagram_of_the_human_heart_%28cropped%29.svg
UBERON:0002137	http://upload.wikimedia.org/wikipedia/commons/2/20/Diagram_of_the_human_heart_%28cropped%29.svg
UBERON:0005438	http://upload.wikimedia.org/wikipedia/commons/5/5f/Gray491.png
UBERON:0002079	http://upload.wikimedia.org/wikipedia/commons/2/20/Diagram_of_the_human_heart_%28cropped%29.svg
UBERON:0002084	http://upload.wikimedia.org/wikipedia/commons/2/20/Diagram_of_the_human_heart_%28cropped%29.svg
UBERON:0002135	http://upload.wikimedia.org/wikipedia/commons/2/20/Diagram_of_the_human_heart_%28cropped%29.svg
UBERON:0002146	http://upload.wikimedia.org/wikipedia/commons/2/20/Diagram_of_the_human_heart_%28cropped%29.svg
UBERON:0002351	http://upload.wikimedia.org/wikipedia/commons/d/d2/Sinoatrial_node_low_mag.jpg
UBERON:0002352	http://upload.wikimedia.org/wikipedia/commons/5/50/ConductionsystemoftheheartwithouttheHeart.png
