term	image_url
UBERON:0001227	Kidney:PioM.png
UBERON:0001225	Illu:kidney.jpg
UBERON:0001289	http://upload.wikimedia.org/wikipedia/commons/0/02/Gray1128.png
UBERON:0002015	Illu:kidney.jpg
UBERON:0001291	http://upload.wikimedia.org/wikipedia/commons/0/02/Gray1128.png
UBERON:0001226	Kidney:PioM.png
UBERON:0004200	Kidney:PioM.png
UBERON:0004639	http://upload.wikimedia.org/wikipedia/commons/0/02/Gray1128.png
UBERON:0005096	http://upload.wikimedia.org/wikipedia/commons/0/02/Gray1128.png
UBERON:0004640	http://upload.wikimedia.org/wikipedia/commons/0/02/Gray1128.png
UBERON:0001229	Renal:corpuscle.svg
UBERON:0005097	http://upload.wikimedia.org/wikipedia/commons/0/02/Gray1128.png
UBERON:0001292	Kidney:nephron.png
UBERON:0004193	http://upload.wikimedia.org/wikipedia/commons/0/02/Gray1128.png
UBERON:0001228	Kidney:PioM.png
UBERON:0004100	http://upload.wikimedia.org/wikipedia/commons/0/02/Gray1128.png
UBERON:0001284	Illu:kidney2.jpg
UBERON:0001224	Illu:kidney2.jpg
UBERON:0001285	http://upload.wikimedia.org/wikipedia/commons/0/02/Gray1128.png
UBERON:0000362	Illu:kidney.jpg
