representation_of,glb_file
http://purl.obolibrary.org/obo/UBERON_0000002,https://cdn.humanatlas.io/digital-objects/ref-organ/uterus-female/v1.1/assets/VH_F_Uterus.glb
http://purl.obolibrary.org/obo/UBERON_0000029,https://cdn.humanatlas.io/digital-objects/ref-organ/lymph-node-male-right/v1.0/assets/NIH_M_Lymph_Node_Right.glb
http://purl.obolibrary.org/obo/UBERON_0000029,https://cdn.humanatlas.io/digital-objects/ref-organ/lymph-node-male-left/v1.0/assets/NIH_M_Lymph_Node_Left.glb
http://purl.obolibrary.org/obo/UBERON_0000029,https://cdn.humanatlas.io/digital-objects/ref-organ/lymph-node-female-right/v1.0/assets/NIH_F_Lymph_Node_Right.glb
http://purl.obolibrary.org/obo/UBERON_0000029,https://cdn.humanatlas.io/digital-objects/ref-organ/lymph-node-female-left/v1.0/assets/NIH_F_Lymph_Node_Left.glb
http://purl.obolibrary.org/obo/UBERON_0000052,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.3/assets/3d-vh-m-allen-brain.glb
http://purl.obolibrary.org/obo/UBERON_0000052,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.3/assets/3d-vh-m-allen-brain.glb
http://purl.obolibrary.org/obo/UBERON_0000052,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.3/assets/3d-vh-f-allen-brain.glb
http://purl.obolibrary.org/obo/UBERON_0000052,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.3/assets/3d-vh-f-allen-brain.glb
http://purl.obolibrary.org/obo/UBERON_0000059,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/SBU_M_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0000059,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0000079,https://cdn.humanatlas.io/digital-objects/ref-organ/prostate-male/v1.1/assets/VH_M_Prostate.glb
http://purl.obolibrary.org/obo/UBERON_0000305,https://cdn.humanatlas.io/digital-objects/ref-organ/placenta-full-term-female/v1.0/assets/VH_F_Placenta.glb
http://purl.obolibrary.org/obo/UBERON_0000362,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0000362,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.2/assets/VH_M_Kidney_L.glb
http://purl.obolibrary.org/obo/UBERON_0000362,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-right/v1.2/assets/VH_F_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0000362,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-left/v1.2/assets/VH_F_Kidney_L.glb
http://purl.obolibrary.org/obo/UBERON_0000569,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/SBU_M_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0000569,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0000935,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.3/assets/3d-vh-m-allen-brain.glb
http://purl.obolibrary.org/obo/UBERON_0000935,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.3/assets/3d-vh-m-allen-brain.glb
http://purl.obolibrary.org/obo/UBERON_0000935,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.3/assets/3d-vh-f-allen-brain.glb
http://purl.obolibrary.org/obo/UBERON_0000935,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.3/assets/3d-vh-f-allen-brain.glb
http://purl.obolibrary.org/obo/UBERON_0000947,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0000947,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0000948,https://cdn.humanatlas.io/digital-objects/ref-organ/heart-male/v1.2/assets/VH_M_Heart.glb
http://purl.obolibrary.org/obo/UBERON_0000948,https://cdn.humanatlas.io/digital-objects/ref-organ/heart-female/v1.2/assets/VH_F_Heart.glb
http://purl.obolibrary.org/obo/UBERON_0000955,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.3/assets/3d-vh-m-allen-brain.glb
http://purl.obolibrary.org/obo/UBERON_0000955,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.3/assets/3d-vh-f-allen-brain.glb
http://purl.obolibrary.org/obo/UBERON_0000995,https://cdn.humanatlas.io/digital-objects/ref-organ/uterus-female/v1.1/assets/VH_F_Uterus.glb
http://purl.obolibrary.org/obo/UBERON_0000998,https://cdn.humanatlas.io/digital-objects/ref-organ/prostate-male/v1.1/assets/VH_M_Prostate.glb
http://purl.obolibrary.org/obo/UBERON_0000999,https://cdn.humanatlas.io/digital-objects/ref-organ/prostate-male/v1.1/assets/VH_M_Prostate.glb
http://purl.obolibrary.org/obo/UBERON_0001004,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-male/v1.3/assets/3d-vh-m-lung.glb
http://purl.obolibrary.org/obo/UBERON_0001004,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-female/v1.3/assets/3d-vh-f-lung.glb
http://purl.obolibrary.org/obo/UBERON_0001052,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/SBU_M_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001052,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001069,https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-male/v1.2/assets/3d-vh-m-pancreas.glb
http://purl.obolibrary.org/obo/UBERON_0001069,https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-female/v1.2/assets/3d-vh-f-pancreas.glb
http://purl.obolibrary.org/obo/UBERON_0001114,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.1/assets/VH_M_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001114,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.1/assets/VH_F_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001115,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.1/assets/VH_M_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001115,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.1/assets/VH_F_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001116,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.1/assets/VH_M_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001116,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.1/assets/VH_F_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001117,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.1/assets/VH_M_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001117,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.1/assets/VH_F_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001138,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001139,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001139,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001140,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001140,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001141,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001141,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001142,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001142,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001149,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.1/assets/VH_M_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001149,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.1/assets/VH_F_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001150,https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-male/v1.2/assets/3d-vh-m-pancreas.glb
http://purl.obolibrary.org/obo/UBERON_0001150,https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-female/v1.2/assets/3d-vh-f-pancreas.glb
http://purl.obolibrary.org/obo/UBERON_0001151,https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-male/v1.2/assets/3d-vh-m-pancreas.glb
http://purl.obolibrary.org/obo/UBERON_0001151,https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-female/v1.2/assets/3d-vh-f-pancreas.glb
http://purl.obolibrary.org/obo/UBERON_0001153,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/SBU_M_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001153,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb
