Table	AS_valid_term_number	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_invalid_term_number	CT_invalid_term_percent
Bone-Marrow	1	0	0.0	44	11	22.45
Brain	122	63	20.32	0	127	40.97
Blood	1	0	0.0	28	4	12.9
Eye	30	2	2.56	37	22	28.21
Fallopian_tube	13	41	53.95	0	22	28.95
Heart	24	21	29.58	13	5	7.04
Kidney	58	7	5.65	47	16	12.9
Large_intestine	56	0	0.0	67	12	10.0
Liver	8	9	19.15	16	15	31.91
Lung	54	94	40.0	64	22	9.36
Lymph_node	32	2	1.87	37	43	40.19
Lymph_vasculature	3	1	20.0	1	0	0.0
Ovary	30	41	52.56	4	3	3.85
Pancreas	29	4	6.78	33	2	3.39
Peripheral_nervous_system	32	748	95.77	1	0	0.0
Skin	15	0	0.0	37	4	7.84
Small_intestine	16	20	22.47	3	46	51.69
Spleen	32	12	12.37	44	21	21.65
Thymus	17	0	0.0	32	17	24.64
Ureter	5	1	10.0	16	0	0.0
Urinary_bladder	16	0	0.0	0	16	50.0
Uterus	37	22	33.85	3	17	26.15
