Table	AS_valid_term_number	AS_invalid_term_number	AS_invalid_term_percent	CT_valid_term_number	CT_invalid_term_number	CT_invalid_term_percent	invalid_terms_percent
Anatomical_Systems	82	0	0.0	0	0	0	0.0
Blood	1	0	0.0	29	0	0.0	0.0
Bone-Marrow	1	0	0.0	47	0	0.0	0.0
Brain	171	19	10.0	164	461	73.76	58.9
Eye	36	3	7.69	47	8	14.55	11.7
Fallopian_tube	9	63	87.5	18	1	5.26	70.33
Heart	29	23	44.23	28	0	0.0	22.55
Kidney	56	5	8.2	67	3	4.29	6.11
Knee	6	0	0.0	2	9	81.82	52.94
Large_intestine	54	0	0.0	55	3	5.17	2.68
Liver	16	1	5.88	28	2	6.67	6.38
Lung	54	0	0.0	74	0	0.0	0.0
Lymph_node	34	0	0.0	45	0	0.0	0.0
Lymph_vasculature	14	79	84.95	1	0	0.0	65.83
Main_Bronchus	15	0	0.0	19	0	0.0	0.0
Muscular_System	165	217	56.81	1	0	0.0	41.41
Ovary	24	45	65.22	5	11	68.75	59.57
Pancreas	28	2	6.67	28	2	6.67	6.45
Palatine_Tonsil	11	10	47.62	13	4	23.53	34.15
Peripheral_nervous_system	95	792	89.29	1	0	0.0	47.14
Placenta	19	16	45.71	22	3	12.0	32.76
Prostate	13	0	0.0	18	2	10.0	6.06
Skeleton	174	898	83.77	1	0	0.0	56.8
Skin	15	0	0.0	35	0	0.0	0.0
Small_intestine	22	21	48.84	25	10	28.57	38.27
Spinal_Cord	86	0	0.0	8	0	0.0	0.0
Spleen	24	14	36.84	46	15	24.59	29.0
Thymus	18	0	0.0	50	0	0.0	0.0
Trachea	20	0	0.0	16	1	5.88	2.7
Ureter	6	1	14.29	3	11	78.57	57.14
Urinary_bladder	16	0	0.0	4	11	73.33	35.48
Uterus	24	36	60.0	0	18	100.0	66.67
Blood_vasculature	376	678	64.33	10	0	0.0	44.63
